"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","3","0.0-0.0","661410f7993fa712ed9a1b17","","","",""
"external-html","1","21070","0.0-1.0","661410f7993fa712ed9a1b17","20932.59999999404","external_page.html","",""
"instructions","2","60245","0.0-2.0","661410f7993fa712ed9a1b17","39174.5","","[{""page_index"":0,""viewing_time"":7582.5},{""page_index"":1,""viewing_time"":13463.800000011921},{""page_index"":2,""viewing_time"":13696.09999999404},{""page_index"":3,""viewing_time"":4431.9000000059605}]",""
"survey-text","3","64069","0.0-3.0","661410f7993fa712ed9a1b17","3821.800000011921","","","{""Q0"":""661410f7993fa712ed9a1b17""}"
