"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","4","0.0-0.0","67ed1ea3da663d525e8c39e3","","","",""
"external-html","1","53448","0.0-1.0","67ed1ea3da663d525e8c39e3","52911.299999952316","external_page.html","",""
"instructions","2","983852","0.0-2.0","67ed1ea3da663d525e8c39e3","930403.6999998093","","[{""page_index"":0,""viewing_time"":696635.6999998093},{""page_index"":1,""viewing_time"":176767.80000019073},{""page_index"":2,""viewing_time"":49816.39999985695},{""page_index"":3,""viewing_time"":7183.100000143051}]",""
"survey-text","3","999233","0.0-3.0","67ed1ea3da663d525e8c39e3","15377.299999952316","","","{""Q0"":""67ed1ea3da663d525e8c39e3""}"
"instructions","4","1003525","0.0-4.0","67ed1ea3da663d525e8c39e3","4290.5","","[{""page_index"":0,""viewing_time"":4290.400000095367}]",""
"survey-text","5","1051336","0.0-5.0","67ed1ea3da663d525e8c39e3","47808.800000190735","","","{""Q0"":""THREE ZEBRA LOOKING OUT FOR EACH OTHER""}"
"survey-text","6","1069893","0.0-6.0-0.0","67ed1ea3da663d525e8c39e3","18552.599999904633","","","{""Q0"":""BUT""}"
"survey-text","7","1117312","0.0-6.1-0.1","67ed1ea3da663d525e8c39e3","22171.400000095367","","","{""Q0"":""But""}"
"survey-text","8","1299287","0.0-6.2-0.2","67ed1ea3da663d525e8c39e3","152700.19999980927","","","{""Q0"":""but.""}"
"survey-text","9","1333527","0.0-6.3-0.3","67ed1ea3da663d525e8c39e3","31501.200000047684","","","{""Q0"":""But""}"
"survey-text","10","1349452","0.0-6.4-0.4","67ed1ea3da663d525e8c39e3","12153.900000095367","","","{""Q0"":""But""}"
