"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2","raw","10 squares",28,28.7698324022346,179,5.18309541313305,14.2,36.2
"exp2","raw","10 squares",29,29.7224719101124,178,5.16529603417611,14.2,36.2
"exp2","raw","10 squares",30,29.5492063492064,189,5.02173593626512,14.2,36.2
"exp2","raw","10 squares",31,30.2523255813954,172,4.67826195407233,16.2,36.2
"exp2","raw","10 squares",32,29.778231292517,147,4.70343093960904,17.2,36.2
"exp2","raw","10 squares",33,30.7833333333333,120,4.53109394351187,14.2,36.2
"exp2","raw","10 squares",34,30.7862068965517,116,4.53597976668527,14.2,36.2
"exp2","raw","10 squares",35,32.106976744186,86,3.82446584344639,20.2,36.2
"exp2","raw","10 squares",36,31.7277777777778,72,4.05585031192457,17.2,36.2
"exp2","raw","10 squares",37,31.4608695652174,69,4.12543107876956,20.2,36.2
"exp2","raw","10 squares",38,32.9115384615385,52,3.05078928046265,24.2,36.2
"exp2","raw","10 squares",39,33.1,50,2.9982988374022,26.2,36.2
"exp2","raw","10 squares",40,33.1166666666667,36,3.17467658645277,24.2,36.2
"exp2","raw","10 squares",41,33.6074074074074,27,2.34125638952283,28.2,36.2
"exp2","raw","10 squares",42,35.2476190476191,21,1.53219419383414,30.2,36.2
"exp2","raw","10 squares",43,34.5333333333333,9,1.87082869338697,31.2,36.2
"exp2","raw","10 squares",44,34,5,4.38178046004133,26.2,36.2
"exp2","raw","10 squares",45,33.2,7,4,25.2,36.2
"exp2","raw","10 squares",46,35.2,3,1,34.2,36.2
"exp2","raw","10 squares",48,32,5,4.60434577328854,24.2,36.2
"exp2","raw","20 squares",1,12.5,1,NA,12.5,12.5
"exp2","raw","20 squares",2,13.5,2,1.4142135623731,12.5,14.5
"exp2","raw","20 squares",4,14.8333333333333,12,2.90245455162392,12.5,21.5
"exp2","raw","20 squares",5,14.3,15,2.30527345759364,12.5,20.5
"exp2","raw","20 squares",6,15.1470588235294,17,2.44798836983012,12.5,20.5
"exp2","raw","20 squares",7,16.125,40,3.91373321680307,12.5,31.5
"exp2","raw","20 squares",8,15.0535714285714,56,2.91029297405007,12.5,25.5
"exp2","raw","20 squares",9,16.6212121212121,66,4.24088217061988,12.5,31.5
"exp2","raw","20 squares",10,17.0505617977528,89,4.01137937043157,12.5,30.5
"exp2","raw","20 squares",11,16.712962962963,108,3.61732830083179,12.5,27.5
"exp2","raw","20 squares",12,16.9,140,4.13060171205082,12.5,32.5
"exp2","raw","20 squares",13,17.921052631579,133,4.24836960940524,12.5,28.5
"exp2","raw","20 squares",14,18.1111111111111,180,4.71345262308252,12.5,34.5
"exp2","raw","20 squares",15,18.7857142857143,196,4.64868329855416,12.5,34.5
"exp2","raw","20 squares",16,19.4806763285024,207,5.29330164064036,12.5,33.5
"exp2","raw","20 squares",17,20.0570175438597,228,4.95986480734907,12.5,33.5
"exp2","raw","20 squares",18,20.4738219895288,191,5.15694172422889,12.5,33.5
"exp2","raw","20 squares",19,21.6136363636364,220,5.5616754033135,12.5,34.5
"exp2","raw","20 squares",20,22.0355648535565,239,5.2064309372131,12.5,34.5
"exp2","raw","20 squares",21,22.7921810699589,243,5.59820482738817,12.5,34.5
"exp2","raw","20 squares",22,23.5409836065574,244,5.53759696064056,12.5,34.5
"exp2","raw","20 squares",23,24.168,250,5.58161209457422,12.5,34.5
"exp2","raw","20 squares",24,24.9765957446808,235,5.43988957773322,12.5,34.5
"exp2","raw","20 squares",25,25.55,200,5.44386612546266,12.5,34.5
"exp2","raw","20 squares",26,26.1893203883495,206,5.46657983986615,12.5,34.5
"exp2","raw","20 squares",27,27.5192307692308,208,4.79428155590695,12.5,34.5
"exp2","raw","20 squares",28,28.1111111111111,162,4.85216222532487,15.5,34.5
"exp2","raw","20 squares",29,27.8031914893617,188,4.72093872944777,12.5,34.5
"exp2","raw","20 squares",30,28.7289156626506,166,4.66014774432149,12.5,34.5
"exp2","raw","20 squares",31,28.9921875,128,4.70047089909387,15.5,34.5
"exp2","raw","20 squares",32,29.4345794392523,107,4.20752028445515,16.5,34.5
"exp2","raw","20 squares",33,29.2884615384615,104,4.82846148670603,14.5,34.5
"exp2","raw","20 squares",34,29.921052631579,76,4.20242202511754,13.5,34.5
