"experiment","group","level","n_trials","mean_item_sd","r","sd_objective","sd_report","sd_ratio","slope","split_from","split_to","log_change_slope","log_change_from_r","log_change_from_sd_ratio","share_from_r","share_from_sd_ratio","paired_n","paired_p_r","paired_p_sd_ratio"
"exp2","all",2,5012,4,0.761162417617754,6.5354273005451,7.38216891779447,1.12956178353919,0.859779978007314,"2","20",-0.072676036941044,-0.0476172767165954,-0.0250587602244486,0.655199137443658,0.344800862556343,163,8.08824201996773e-05,0.0459060189610414
"exp2","all",10,5019,5.9464274989274,0.716908711423606,6.61004105758402,6.92490140824217,1.04763364522477,0.751057686642108,"2","20",-0.072676036941044,-0.0476172767165954,-0.0250587602244486,0.655199137443658,0.344800862556343,163,8.08824201996773e-05,0.0459060189610414
"exp2","all",20,5003,5.5,0.725767332594226,6.59003376945136,7.25963438921512,1.10160807109483,0.799511151322767,"2","20",-0.072676036941044,-0.0476172767165954,-0.0250587602244486,0.655199137443658,0.344800862556343,163,8.08824201996773e-05,0.0459060189610414
"exp2","average",2,2643,4,0.767472385401364,6.57415530575446,6.92171103911248,1.05286697943594,0.808046332218031,"2","20",-0.0868527311399948,-0.0508992424529824,-0.0359534886870124,0.586040781733619,0.413959218266381,86,0.00101796888790677,0.0315734588672048
"exp2","average",10,2643,5.9464274989274,0.708864157970003,6.62405383364323,6.35955857629629,0.960070484934229,0.680559555894755,"2","20",-0.0868527311399948,-0.0508992424529824,-0.0359534886870124,0.586040781733619,0.413959218266381,86,0.00101796888790677,0.0315734588672048
"exp2","average",20,2641,5.5,0.729386125524125,6.65236410451991,6.75670744528273,1.01568515179317,0.740826657618802,"2","20",-0.0868527311399948,-0.0508992424529824,-0.0359534886870124,0.586040781733619,0.413959218266381,86,0.00101796888790677,0.0315734588672048
"exp2","experience",2,2369,4,0.759099563103321,6.492899884356,7.85493801156619,1.20977346816819,0.918338511140461,"2","20",-0.0561329885157021,-0.0430261564302136,-0.0131068320854885,0.766503932320971,0.233496067679029,77,0.0254847643975479,0.582370851472198
"exp2","experience",10,2376,5.9464274989274,0.729304513787012,6.59293473483485,7.49636935274476,1.13703072368311,0.829241639096602,"2","20",-0.0561329885157021,-0.0430261564302136,-0.0131068320854885,0.766503932320971,0.233496067679029,77,0.0254847643975479,0.582370851472198
"exp2","experience",20,2362,5.5,0.727131098289011,6.51993231938822,7.78493370122041,1.1940206308692,0.868209532703659,"2","20",-0.0561329885157021,-0.0430261564302136,-0.0131068320854885,0.766503932320971,0.233496067679029,77,0.0254847643975479,0.582370851472198
