"experiment","analysis","effect","df1","df2","MSE","F","ges","p"
"exp4","tracking_correlation","condition",1,99,0.16048652513528,0.0225452926036627,0.000189523970471378,0.880951052151821
"exp4","tracking_correlation","variance_level",1.88114261623749,186.233119007512,0.0171789384002354,136.358220240523,0.187560861541941,7.24352582669774e-36
"exp4","tracking_correlation","condition:variance_level",1.88114261623749,186.233119007512,0.0171789384002354,0.907767159502874,0.00153453773306843,0.399952588593171
