"experiment","condition","variance_level","n","se","signed_err"
"exp4","average","3",51,0.381543921087991,-1.10481309885422
"exp4","average","5",51,0.344236678005208,-0.653707361211772
"exp4","average","7",51,0.362996056994682,-0.39191462279167
"exp4","experience","3",50,0.319955193993505,-0.978738429818326
"exp4","experience","5",50,0.313018058954264,-0.0187764841546905
"exp4","experience","7",50,0.400405182522957,0.512522624589839
