"window","experiment","variance_level","high","low"
15.0593788723636,"exp4","3",32.160056810862,17.1006779384983
14.6865186630324,"exp4","5",31.7203338561999,17.0338151931674
13.6722161199433,"exp4","7",31.1400338569248,17.4678177369815
