"participant_id","n_total","n_clean","retained","rho","excluded_reason","condition"
"55b5f6b6fdf99b713277dc94",216,208,0.962962962962963,0.696871987212784,NA,"average"
"58ed2be2a083320001a13783",216,205,0.949074074074074,0.867995300980302,NA,"average"
"5d27dc6b46dea800184f8bfa",216,210,0.972222222222222,0.521831023779691,NA,"average"
"5eb278ce4602871c6d7e335d",216,211,0.976851851851852,0.869266821187488,NA,"average"
"5f0a7dec44c42c19a6c9f6d9",216,213,0.986111111111111,0.822084469816098,NA,"average"
"5f3898caed1478189b8462a0",216,191,0.884259259259259,0.810900738443778,NA,"average"
"5f9fdfd04296cb0102563f84",216,210,0.972222222222222,0.68400335306721,NA,"average"
"606f9bca353fc36aba9ccb8b",216,208,0.962962962962963,0.704546314890504,NA,"average"
"61fa94015719bc09cb834e2e",216,213,0.986111111111111,0.910999856874502,NA,"average"
"620bdd10a922fc3f247f6b6b",216,209,0.967592592592593,0.832542679447302,NA,"average"
"63d40c3695dd423166c7c83d",216,191,0.884259259259259,0.796112692260305,NA,"average"
"63e55e08efd239a8c8b9d39e",216,208,0.962962962962963,0.720037242990014,NA,"average"
"63fa812428f289c772131458",216,209,0.967592592592593,0.612883208441391,NA,"average"
"65dfbf73ec3a047b5653add8",216,209,0.967592592592593,0.851307917141006,NA,"average"
"65ebbd5d9188410923b21986",216,214,0.990740740740741,0.78542853986335,NA,"average"
"66295cf0dbecaeeb1cddb852",216,212,0.981481481481482,0.84162136812595,NA,"average"
"66c0f464e0ff62798027b486",216,207,0.958333333333333,0.672996543870061,NA,"average"
"66e89b61d7709ff7f27a76be",216,212,0.981481481481482,0.893019381983834,NA,"average"
"66f0c81ea46a554aeb92cd04",216,195,0.902777777777778,0.659175355982543,NA,"average"
"6711ee336b91eb0fcf53841f",216,205,0.949074074074074,0.804390157832545,NA,"average"
"67265982eb0c3fc495c6e33a",216,207,0.958333333333333,0.822806556405238,NA,"average"
"672a8544e38b571bd7d4fb71",216,212,0.981481481481482,0.837894938045295,NA,"average"
"67382e41c232d1004b052fc4",216,211,0.976851851851852,0.829519899688337,NA,"average"
"673feeafa80a279f5cc63e33",216,199,0.921296296296296,0.845337428114996,NA,"average"
"696a97da7648c7e49fa8eb36",216,211,0.976851851851852,0.76011314147539,NA,"average"
"6980f50102e1cb37d5b3464a",216,212,0.981481481481482,0.805307397092226,NA,"average"
"69854f587004c7ca1ef67ab5",216,210,0.972222222222222,0.78915503413807,NA,"average"
"69864918d688ba39aab5c4a9",216,206,0.953703703703704,0.752712370275434,NA,"average"
"698a3d827015c99ab3f87957",216,209,0.967592592592593,0.686802433962212,NA,"average"
"699288bfa36a91c33ada5723",216,211,0.976851851851852,0.695408222133681,NA,"average"
"6998845b8b98b147215b19e5",216,213,0.986111111111111,0.868324744117463,NA,"average"
"699f3d1a77d51612aeaf5766",216,211,0.976851851851852,0.82643627843029,NA,"average"
"699fc622b54af00bf1380eba",216,211,0.976851851851852,0.867206784848827,NA,"average"
"69a30af34cf4575fd785090b",216,211,0.976851851851852,0.767983008021181,NA,"average"
"69a4b67351c86f1665010c28",216,199,0.921296296296296,0.771170445955317,NA,"average"
"69a54b53983c2fc21935a276",216,204,0.944444444444444,0.744219829620236,NA,"average"
"69aa203bc67c0093e96b9875",216,213,0.986111111111111,0.875985652667123,NA,"average"
"69ac80094c5494db959077d6",216,207,0.958333333333333,0.690484602208167,NA,"average"
"69acffd5ce1304cfa474a22f",216,208,0.962962962962963,0.799114631420393,NA,"average"
"69af386aa115c4cb66894fb8",216,199,0.921296296296296,0.438048816599057,NA,"average"
"69b4b502fec38544c443c643",216,209,0.967592592592593,0.822506164146238,NA,"average"
"69b702926fc53d9dd8eeaa52",216,212,0.981481481481482,0.809485132363309,NA,"average"
"69b885c83f7ae2b8458c6624",216,196,0.907407407407407,0.694950488075215,NA,"average"
"69b8c2e2a791bd09e0041dd7",216,210,0.972222222222222,0.433682789187842,NA,"average"
"69b9174a05fa2db6d0a8b4ff",216,210,0.972222222222222,0.568671526775099,NA,"average"
"69bb5d0e58b8b38af6ea30eb",216,210,0.972222222222222,0.778658855204044,NA,"average"
"69bc4a5a75e354d36da3b4df",216,208,0.962962962962963,0.681922596612518,NA,"average"
"69bdd52e962f286c3349b154",216,212,0.981481481481482,0.638816844955145,NA,"average"
"69c07518ef8c7765906f4e89",216,208,0.962962962962963,0.748733937241212,NA,"average"
"69c19681729c357296460f3d",216,211,0.976851851851852,0.839061903341575,NA,"average"
"69c1aaedff8c0b25b7df1d32",216,213,0.986111111111111,0.894736902845808,NA,"average"
"67bc755b022467c613763798",216,180,0.833333333333333,NA,"low_retention","average"
"67fd8520a5dcf6eaa319fc52",216,153,0.708333333333333,NA,"low_retention","average"
"558955ebfdf99b6bd06016c9",216,210,0.972222222222222,0.872971108655186,NA,"experience"
"56c79f6cc41c43000c0886b0",216,211,0.976851851851852,0.681738344963754,NA,"experience"
"5711c09d28742b0011c585be",216,210,0.972222222222222,0.785163300119023,NA,"experience"
"5a5aabd3acc75b00017a5300",216,210,0.972222222222222,0.47916773368591,NA,"experience"
"5a792c898fe2dc0001058c3b",216,211,0.976851851851852,0.833849821946791,NA,"experience"
"5b0d1b8e444cef0001ca66ac",216,211,0.976851851851852,0.812632240134876,NA,"experience"
"5bb58e338f3bd70001e5df57",216,211,0.976851851851852,0.639854666921998,NA,"experience"
"5c223d4a4a7e1f000137e5b9",216,212,0.981481481481482,0.806952916558651,NA,"experience"
"5d0c46b3dff7d70019e6dda7",216,212,0.981481481481482,0.846721375606616,NA,"experience"
"5d4611bb3c5a360001b1bb59",216,213,0.986111111111111,0.841412367065152,NA,"experience"
"5e991aaac7bc1615ea5b3eb8",216,209,0.967592592592593,0.696758707862999,NA,"experience"
"5ebb96b6cd673a0008ace9ce",216,214,0.990740740740741,0.822626948150541,NA,"experience"
"5f16f559325a640008bb9a07",216,208,0.962962962962963,0.67965876841989,NA,"experience"
"5fb809a247aaee22c2a204fc",216,210,0.972222222222222,0.780032624718863,NA,"experience"
"608f39d2c76e436967135846",216,211,0.976851851851852,0.773361236736521,NA,"experience"
"610c83598db46d4d46de2c61",216,208,0.962962962962963,0.864111934693391,NA,"experience"
"6120602a67554358bbd53c9d",216,212,0.981481481481482,0.84827579608913,NA,"experience"
"6172cf92f2ea6613f717abb6",216,192,0.888888888888889,0.719219764398079,NA,"experience"
"62e174454a461d00781acfe1",216,208,0.962962962962963,0.758110445769349,NA,"experience"
"6329e23d509947bfd4c50ab3",216,211,0.976851851851852,0.828453705791979,NA,"experience"
"63d92dacc885e6167a4a486c",216,210,0.972222222222222,0.755427822577742,NA,"experience"
"64badb09518eb5b219132eea",216,211,0.976851851851852,0.810807975355038,NA,"experience"
"65181c2f753b188afdddd2c4",216,211,0.976851851851852,0.795170992240614,NA,"experience"
"655f8b959477c803eb906622",216,212,0.981481481481482,0.884627116575112,NA,"experience"
"655fd05c12d38751dfa91559",216,210,0.972222222222222,0.860728027981988,NA,"experience"
"6599b15ac5bd63ec64f8b1f5",216,211,0.976851851851852,0.856236506185973,NA,"experience"
"65cce024500351e8c8f7ff26",216,213,0.986111111111111,0.860939412218758,NA,"experience"
"6639151df5e0ac5d59c17055",216,208,0.962962962962963,0.665911381824116,NA,"experience"
"6650ecda2657647b60a302eb",216,208,0.962962962962963,0.538729653299706,NA,"experience"
"66573c811d17794993965781",216,211,0.976851851851852,0.858949927316866,NA,"experience"
"66613916abcfcbe01b57b32a",216,210,0.972222222222222,0.796588560325587,NA,"experience"
"66789a1e138a59bb4ad16fa5",216,210,0.972222222222222,0.843784518055789,NA,"experience"
"66d8e14e71c04a7d23ff43c9",216,201,0.930555555555556,0.798408040571824,NA,"experience"
"66fcd1c4584eed5dbd49859c",216,207,0.958333333333333,0.704638275946522,NA,"experience"
"6716283de5fe806da4523e16",216,211,0.976851851851852,0.707862407667287,NA,"experience"
"67352889b3b5e7bc6bb4981b",216,208,0.962962962962963,0.692481567093856,NA,"experience"
"675758f40df8b09c8aa98ad0",216,207,0.958333333333333,0.847954858859153,NA,"experience"
"67df65cf111af9caf43e00a5",216,211,0.976851851851852,0.700880380562871,NA,"experience"
"68dc82cf2d34a90250ee5972",216,202,0.935185185185185,0.802804112456312,NA,"experience"
"697ed59824964096e537d7d3",216,209,0.967592592592593,0.635085462325431,NA,"experience"
"698ce63b43f959c040a1a38c",216,209,0.967592592592593,0.72494623817651,NA,"experience"
"698e495c1fc8060e7080c7b9",216,207,0.958333333333333,0.809614659015619,NA,"experience"
"699085db00ce46f1d7f46540",216,213,0.986111111111111,0.836542952884499,NA,"experience"
"6995ebe917abe5d36a3b17e0",216,211,0.976851851851852,0.9257690976559,NA,"experience"
"6997463b53dc974a895c3f7d",216,210,0.972222222222222,0.661301769878666,NA,"experience"
"69ab40ce103bf88603a63252",216,207,0.958333333333333,0.758370072869118,NA,"experience"
"69adbd35d535ed1bd0cdce42",216,210,0.972222222222222,0.55701812994176,NA,"experience"
"69b9a9800190f414ab589c05",216,212,0.981481481481482,0.716430761339184,NA,"experience"
"69b9bede6c5d94595aa6f31f",216,212,0.981481481481482,0.870949641135203,NA,"experience"
"69bf4d1a17c6fd5e56da4309",216,209,0.967592592592593,0.744575451747847,NA,"experience"
"5eb278ce4602871c6d7e335d",216,NA,NA,NA,"later_session","experience"
"63a3375101319bb7cb39f654",216,190,0.87962962962963,0.190199594889577,"low_tracking","experience"
"63ed78d1217e614a3c6b392e",216,206,0.953703703703704,0.23036671139028,"low_tracking","experience"
"66d66e076ab81bb38466c650",216,101,0.467592592592593,NA,"low_retention","experience"
"66ee033078ac153667a8aa2f",216,203,0.939814814814815,0.230948744729897,"low_tracking","experience"
"67dd4210d92f4c3aac8d944c",216,198,0.916666666666667,0.272738237749856,"low_tracking","experience"
"69a9fd65e7edaf2adf755689",216,196,0.907407407407407,-0.00658368613628363,"low_tracking","experience"
"69c1c927c0dfa72ccf79eeef",216,180,0.833333333333333,NA,"low_retention","experience"
