"participant_id","condition","variance_level","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.55b5f6b6fdf99b713277dc94","average","3",13,13.7773668639053,7.78047337278107,0.564728619745531
"average.55b5f6b6fdf99b713277dc94","average","5",10,11.7211538461538,8.02,0.684232977850697
"average.55b5f6b6fdf99b713277dc94","average","7",6,11.8333333333333,7.63461538461538,0.645178764897075
"average.58ed2be2a083320001a13783","average","3",11,14.4576496674058,9.07050997782705,0.627384823016993
"average.58ed2be2a083320001a13783","average","5",7,11.2397212543554,8.47979094076655,0.754448508897018
"average.58ed2be2a083320001a13783","average","7",9,13.0037940379404,8.1639566395664,0.627813437812604
"average.5d27dc6b46dea800184f8bfa","average","3",3,12.9142857142857,7.76269841269841,0.601093903638152
"average.5d27dc6b46dea800184f8bfa","average","5",7,11.1061224489796,6.3234693877551,0.569367879456082
"average.5d27dc6b46dea800184f8bfa","average","7",5,12.6457142857143,4.73285714285714,0.374265702666064
"average.5eb278ce4602871c6d7e335d","average","3",23,13.9983515351329,7.49299402431486,0.535276886389731
"average.5eb278ce4602871c6d7e335d","average","5",21,12.6208530805687,8.10767321146468,0.642402946909143
"average.5eb278ce4602871c6d7e335d","average","7",9,11.7735650342285,6.48209583991575,0.550563556668754
"average.5f0a7dec44c42c19a6c9f6d9","average","3",14,13.4597585513078,7.15583501006036,0.531646610359519
"average.5f0a7dec44c42c19a6c9f6d9","average","5",22,12.8181818181818,7.16818181818182,0.559219858156028
"average.5f0a7dec44c42c19a6c9f6d9","average","7",28,12.2634138162307,7.30400737759893,0.595593322304106
"average.5f3898caed1478189b8462a0","average","3",15,12.5870855148342,8.02425828970332,0.637499306749487
"average.5f3898caed1478189b8462a0","average","5",13,11.7229158276279,8.58554168344744,0.732372543630617
"average.5f3898caed1478189b8462a0","average","7",9,11.0366492146597,7.75037812681792,0.702240143369176
"average.5f9fdfd04296cb0102563f84","average","3",6,12.5095238095238,6.29698412698413,0.503375206192108
"average.5f9fdfd04296cb0102563f84","average","5",15,12.4761904761905,7.59031746031746,0.608384223918575
"average.5f9fdfd04296cb0102563f84","average","7",20,12.6914285714286,6.99861904761905,0.551444544499475
"average.606f9bca353fc36aba9ccb8b","average","3",12,13.4791666666667,7.02451923076923,0.521138984662941
"average.606f9bca353fc36aba9ccb8b","average","5",13,12.0865384615385,5.99208579881657,0.495765253044489
"average.606f9bca353fc36aba9ccb8b","average","7",25,12.765,7.17165384615385,0.561821687908644
"average.61fa94015719bc09cb834e2e","average","3",13,13.6623329721921,9.4063199711087,0.688485633475192
"average.61fa94015719bc09cb834e2e","average","5",9,13.1298904538341,9.30594679186228,0.708760429082241
"average.61fa94015719bc09cb834e2e","average","7",13,11.9790538100397,8.68652943300831,0.725143201688273
"average.620bdd10a922fc3f247f6b6b","average","3",4,11.3301435406699,9.34246411483254,0.82456714527027
"average.620bdd10a922fc3f247f6b6b","average","5",1,10.6602870813397,10.8349282296651,1.01638240574506
"average.620bdd10a922fc3f247f6b6b","average","7",5,10.6038277511962,9.67904306220096,0.912787654543814
"average.63d40c3695dd423166c7c83d","average","3",11,13.9100428367444,7.12146596858639,0.511965782720274
"average.63d40c3695dd423166c7c83d","average","5",14,12.1114435302917,8.13032909498878,0.6712931513617
"average.63d40c3695dd423166c7c83d","average","7",28,12.4956993268512,7.04022064323112,0.563411495353674
"average.63e55e08efd239a8c8b9d39e","average","3",24,14.9423076923077,7.73485576923077,0.517648005148005
"average.63e55e08efd239a8c8b9d39e","average","5",24,14.2916666666667,6.92916666666667,0.484839650145773
"average.63e55e08efd239a8c8b9d39e","average","7",16,12.8990384615385,6.9625,0.539768915393217
"average.63fa812428f289c772131458","average","3",32,15.6617822966507,6.73092105263158,0.429767246481966
"average.63fa812428f289c772131458","average","5",27,13.3420166578061,5.54658869395711,0.41572341245069
"average.63fa812428f289c772131458","average","7",25,13.1435406698565,6.3618947368421,0.484032034947215
"average.65dfbf73ec3a047b5653add8","average","3",8,12.322966507177,7.84467703349282,0.636589982527664
"average.65dfbf73ec3a047b5653add8","average","5",12,11.8935406698565,8.68652312599681,0.73035636461162
"average.65dfbf73ec3a047b5653add8","average","7",10,11.8277511961722,8.54617224880383,0.722552588996764
"average.65ebbd5d9188410923b21986","average","3",14,13.0100133511348,8.42042723631509,0.647226640669095
"average.65ebbd5d9188410923b21986","average","5",19,11.8986719134284,7.79697491392032,0.655281107895825
"average.65ebbd5d9188410923b21986","average","7",13,11.7088425593098,7.12526959022286,0.608537483882851
"average.66295cf0dbecaeeb1cddb852","average","3",14,14.1940700808625,8.28692722371968,0.583830231674896
"average.66295cf0dbecaeeb1cddb852","average","5",14,12.688679245283,9.18153638814016,0.723600637280935
"average.66295cf0dbecaeeb1cddb852","average","7",18,11.6802935010482,6.91640461215933,0.592143049448084
"average.66c0f464e0ff62798027b486","average","3",16,13.1102053140097,6.23125,0.475297667027475
"average.66c0f464e0ff62798027b486","average","5",14,12.8909592822636,7.06991028295376,0.548439423952032
"average.66c0f464e0ff62798027b486","average","7",18,12.931293612453,6.12895866881374,0.473963305798846
"average.66e89b61d7709ff7f27a76be","average","3",8,12.5966981132075,6.78490566037736,0.538625725519566
"average.66e89b61d7709ff7f27a76be","average","5",2,12.2216981132075,6.70990566037736,0.549015824006175
"average.66f0c81ea46a554aeb92cd04","average","3",3,16.2393162393162,7.89025641025641,0.485873684210526
"average.66f0c81ea46a554aeb92cd04","average","5",5,11.2564102564103,9.90584615384615,0.880018223234624
"average.66f0c81ea46a554aeb92cd04","average","7",7,11.8168498168498,6.93868131868132,0.587185368877867
"average.6711ee336b91eb0fcf53841f","average","3",22,13.1984478935698,7.72866962305987,0.58557412851743
"average.6711ee336b91eb0fcf53841f","average","5",14,12.7595818815331,6.97637630662021,0.546755871108684
