"experiment","analysis","effect","df1","df2","MSE","F","ges","p"
"exp4","exaggeration","condition",1,99,0.013668836779104,0.719122291132123,0.00546905512269679,0.398477588846256
"exp4","exaggeration","variance_level",1.80653536675682,178.847001308925,0.00242811746237301,46.72478128906,0.102867825888257,6.54690849999974e-16
"exp4","exaggeration","condition:variance_level",1.80653536675682,178.847001308925,0.00242811746237301,0.175201251105139,0.000429760377213793,0.817794872662195
