"experiment","condition","variance_level","n","mean_prop","se"
"exp4","average","3",51,0.160229266216006,0.0126102000506122
"exp4","average","5",51,0.110518023191237,0.00963991121101868
"exp4","average","7",51,0.105012935366125,0.0105802563352485
"exp4","experience","3",50,0.174586745721339,0.0128627434499915
"exp4","experience","5",50,0.123363795446736,0.00938182856030891
"exp4","experience","7",50,0.111985459122837,0.00986782308692766
