"participant_id","condition","variance_level","n_trials","r","z"
"average.67382e41c232d1004b052fc4","average","3",69,0.872428128293427,1.34315571323099
"average.67382e41c232d1004b052fc4","average","5",70,0.811802819512358,1.13229370792869
"average.67382e41c232d1004b052fc4","average","7",72,0.755065156111706,0.984634514668971
"average.673feeafa80a279f5cc63e33","average","3",63,0.850520789577178,1.25803253194601
"average.673feeafa80a279f5cc63e33","average","5",66,0.832846896480986,1.19735776909575
"average.673feeafa80a279f5cc63e33","average","7",70,0.843537434860154,1.23331237144577
"average.696a97da7648c7e49fa8eb36","average","3",71,0.813716770736421,1.1379326148896
"average.696a97da7648c7e49fa8eb36","average","5",68,0.827532285508791,1.18025590068621
"average.696a97da7648c7e49fa8eb36","average","7",72,0.647281794460116,0.77060617880087
"average.6980f50102e1cb37d5b3464a","average","3",70,0.864457420785197,1.31071976692621
"average.6980f50102e1cb37d5b3464a","average","5",71,0.746905733338937,0.965919667341994
"average.6980f50102e1cb37d5b3464a","average","7",71,0.788129107105227,1.06647403365025
"average.69854f587004c7ca1ef67ab5","average","3",69,0.805478160183448,1.11401815032221
"average.69854f587004c7ca1ef67ab5","average","5",69,0.792591108235733,1.07836261561793
"average.69854f587004c7ca1ef67ab5","average","7",72,0.75268902006501,0.979129948841334
"average.69864918d688ba39aab5c4a9","average","3",69,0.772033941567835,1.02534326700905
"average.69864918d688ba39aab5c4a9","average","5",66,0.795146435573239,1.08527323664026
"average.69864918d688ba39aab5c4a9","average","7",71,0.670409783530358,0.811487070058037
"average.698a3d827015c99ab3f87957","average","3",70,0.723847565232885,0.915680507469702
"average.698a3d827015c99ab3f87957","average","5",69,0.764013534141858,1.00578622681545
"average.698a3d827015c99ab3f87957","average","7",70,0.495326357703251,0.543093896990875
"average.699288bfa36a91c33ada5723","average","3",71,0.76045002317824,0.997281341881869
"average.699288bfa36a91c33ada5723","average","5",70,0.727729090102013,0.923882798807568
"average.699288bfa36a91c33ada5723","average","7",70,0.577175976523578,0.658217548913521
"average.6998845b8b98b147215b19e5","average","3",69,0.908511660183806,1.51893372565735
"average.6998845b8b98b147215b19e5","average","5",72,0.859976963976921,1.29325621478817
"average.6998845b8b98b147215b19e5","average","7",72,0.838977112575953,1.21770913307562
"average.699f3d1a77d51612aeaf5766","average","3",72,0.859740827772758,1.29235023785116
"average.699f3d1a77d51612aeaf5766","average","5",70,0.829496438885796,1.18651992757786
"average.699f3d1a77d51612aeaf5766","average","7",69,0.750276303179883,0.973586924020619
"average.699fc622b54af00bf1380eba","average","3",71,0.856537550470348,1.28019758734652
"average.699fc622b54af00bf1380eba","average","5",70,0.837767539387716,1.21363828570859
