"participant_id","condition","variance_level","side","n_trials","inward"
"average.66295cf0dbecaeeb1cddb852","average","3","high",6,-1.48333333333333
"average.66295cf0dbecaeeb1cddb852","average","3","low",29,-2.46896551724138
"average.66295cf0dbecaeeb1cddb852","average","5","high",12,-1.79166666666667
"average.66295cf0dbecaeeb1cddb852","average","5","low",19,0.757894736842105
"average.66295cf0dbecaeeb1cddb852","average","7","high",30,0.88
"average.66295cf0dbecaeeb1cddb852","average","7","low",15,1.21333333333333
"average.66c0f464e0ff62798027b486","average","3","high",11,-2.18181818181818
"average.66c0f464e0ff62798027b486","average","3","low",22,-2.22727272727273
"average.66c0f464e0ff62798027b486","average","5","high",16,1.63125
"average.66c0f464e0ff62798027b486","average","5","low",17,0.264705882352941
"average.66c0f464e0ff62798027b486","average","7","high",18,3.68888888888889
"average.66c0f464e0ff62798027b486","average","7","low",21,1.31428571428571
"average.66e89b61d7709ff7f27a76be","average","3","high",9,3.44444444444444
"average.66e89b61d7709ff7f27a76be","average","3","low",48,-0.114583333333333
"average.66e89b61d7709ff7f27a76be","average","5","high",13,4.41538461538462
"average.66e89b61d7709ff7f27a76be","average","5","low",11,-0.836363636363637
"average.66e89b61d7709ff7f27a76be","average","7","high",28,3.12857142857143
"average.66e89b61d7709ff7f27a76be","average","7","low",4,-0.75
"average.66f0c81ea46a554aeb92cd04","average","3","high",16,2.2125
"average.66f0c81ea46a554aeb92cd04","average","3","low",13,-0.4
"average.66f0c81ea46a554aeb92cd04","average","5","high",16,4.3125
"average.66f0c81ea46a554aeb92cd04","average","5","low",20,3.125
"average.66f0c81ea46a554aeb92cd04","average","7","high",16,4.3625
"average.66f0c81ea46a554aeb92cd04","average","7","low",20,2.265
"average.6711ee336b91eb0fcf53841f","average","3","high",17,-1.21176470588235
"average.6711ee336b91eb0fcf53841f","average","3","low",21,-2.61428571428571
"average.6711ee336b91eb0fcf53841f","average","5","high",14,-0.385714285714285
"average.6711ee336b91eb0fcf53841f","average","5","low",25,0.692000000000001
"average.6711ee336b91eb0fcf53841f","average","7","high",15,1.1
"average.6711ee336b91eb0fcf53841f","average","7","low",15,-0.52
"average.67265982eb0c3fc495c6e33a","average","3","high",13,-0.676923076923077
"average.67265982eb0c3fc495c6e33a","average","3","low",23,-0.143478260869566
"average.67265982eb0c3fc495c6e33a","average","5","high",16,-0.34375
"average.67265982eb0c3fc495c6e33a","average","5","low",20,2.36
"average.67265982eb0c3fc495c6e33a","average","7","high",19,0
"average.67265982eb0c3fc495c6e33a","average","7","low",14,1.82857142857143
"average.672a8544e38b571bd7d4fb71","average","3","high",23,1.85652173913043
"average.672a8544e38b571bd7d4fb71","average","3","low",22,0.945454545454546
"average.672a8544e38b571bd7d4fb71","average","5","high",14,1.42142857142857
"average.672a8544e38b571bd7d4fb71","average","5","low",24,2.5375
"average.672a8544e38b571bd7d4fb71","average","7","high",13,3.23076923076923
"average.672a8544e38b571bd7d4fb71","average","7","low",17,3.1
"average.67382e41c232d1004b052fc4","average","3","high",19,2.55263157894737
"average.67382e41c232d1004b052fc4","average","3","low",16,-0.30625
"average.67382e41c232d1004b052fc4","average","5","high",19,4.13157894736842
"average.67382e41c232d1004b052fc4","average","5","low",19,0.505263157894737
"average.67382e41c232d1004b052fc4","average","7","high",11,5.71818181818182
"average.67382e41c232d1004b052fc4","average","7","low",24,1.15416666666667
"average.673feeafa80a279f5cc63e33","average","3","high",16,-5.10625
"average.673feeafa80a279f5cc63e33","average","3","low",14,-0.242857142857143
"average.673feeafa80a279f5cc63e33","average","5","high",13,-6.75384615384615
"average.673feeafa80a279f5cc63e33","average","5","low",15,1.58
"average.673feeafa80a279f5cc63e33","average","7","high",16,-4.8
"average.673feeafa80a279f5cc63e33","average","7","low",20,0.9
"average.696a97da7648c7e49fa8eb36","average","3","high",17,-3.38823529411765
"average.696a97da7648c7e49fa8eb36","average","3","low",20,1.285
"average.696a97da7648c7e49fa8eb36","average","5","high",13,-1.01538461538462
"average.696a97da7648c7e49fa8eb36","average","5","low",22,-1.18181818181818
"average.696a97da7648c7e49fa8eb36","average","7","high",17,0.0588235294117652
"average.696a97da7648c7e49fa8eb36","average","7","low",20,2.695
"average.6980f50102e1cb37d5b3464a","average","3","high",13,1.79230769230769
"average.6980f50102e1cb37d5b3464a","average","3","low",19,-0.926315789473684
"average.6980f50102e1cb37d5b3464a","average","5","high",17,3.34705882352941
"average.6980f50102e1cb37d5b3464a","average","5","low",22,0.8
"average.6980f50102e1cb37d5b3464a","average","7","high",20,3.35
"average.6980f50102e1cb37d5b3464a","average","7","low",21,0.214285714285714
"average.69854f587004c7ca1ef67ab5","average","3","high",21,-0.104761904761904
"average.69854f587004c7ca1ef67ab5","average","3","low",14,-0.292857142857142
"average.69854f587004c7ca1ef67ab5","average","5","high",10,0.29
"average.69854f587004c7ca1ef67ab5","average","5","low",25,1.66
"average.69854f587004c7ca1ef67ab5","average","7","high",17,0.982352941176471
"average.69854f587004c7ca1ef67ab5","average","7","low",20,4.26
"average.69864918d688ba39aab5c4a9","average","3","high",17,1.51764705882353
"average.69864918d688ba39aab5c4a9","average","3","low",21,-1.65238095238095
"average.69864918d688ba39aab5c4a9","average","5","high",13,2.02307692307692
"average.69864918d688ba39aab5c4a9","average","5","low",22,0.904545454545455
"average.69864918d688ba39aab5c4a9","average","7","high",13,4.64615384615385
"average.69864918d688ba39aab5c4a9","average","7","low",20,2.245
"average.698a3d827015c99ab3f87957","average","3","high",18,8.41666666666667
"average.698a3d827015c99ab3f87957","average","3","low",19,-2.55263157894737
"average.698a3d827015c99ab3f87957","average","5","high",16,8.88125
"average.698a3d827015c99ab3f87957","average","5","low",19,-2.98421052631579
"average.698a3d827015c99ab3f87957","average","7","high",12,10.5666666666667
"average.698a3d827015c99ab3f87957","average","7","low",25,-1.14
"average.699288bfa36a91c33ada5723","average","3","high",17,4.67647058823529
"average.699288bfa36a91c33ada5723","average","3","low",21,-4.14285714285714
