"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.66e89b61d7709ff7f27a76be","average","5",2,11,13,-0.836363636363637,4.41538461538462,1.78951048951049
"average.66e89b61d7709ff7f27a76be","average","7",2,4,28,-0.75,3.12857142857143,1.18928571428571
"average.66f0c81ea46a554aeb92cd04","average","3",2,13,16,-0.4,2.2125,0.90625
"average.66f0c81ea46a554aeb92cd04","average","5",2,20,16,3.125,4.3125,3.71875
"average.66f0c81ea46a554aeb92cd04","average","7",2,20,16,2.265,4.3625,3.31375
"average.6711ee336b91eb0fcf53841f","average","3",2,21,17,-2.61428571428571,-1.21176470588235,-1.91302521008403
"average.6711ee336b91eb0fcf53841f","average","5",2,25,14,0.692000000000001,-0.385714285714285,0.153142857142858
"average.6711ee336b91eb0fcf53841f","average","7",2,15,15,-0.52,1.1,0.29
"average.67265982eb0c3fc495c6e33a","average","3",2,23,13,-0.143478260869566,-0.676923076923077,-0.410200668896321
"average.67265982eb0c3fc495c6e33a","average","5",2,20,16,2.36,-0.34375,1.008125
"average.67265982eb0c3fc495c6e33a","average","7",2,14,19,1.82857142857143,0,0.914285714285714
"average.672a8544e38b571bd7d4fb71","average","3",2,22,23,0.945454545454546,1.85652173913043,1.40098814229249
"average.672a8544e38b571bd7d4fb71","average","5",2,24,14,2.5375,1.42142857142857,1.97946428571429
"average.672a8544e38b571bd7d4fb71","average","7",2,17,13,3.1,3.23076923076923,3.16538461538462
"average.67382e41c232d1004b052fc4","average","3",2,16,19,-0.30625,2.55263157894737,1.12319078947368
"average.67382e41c232d1004b052fc4","average","5",2,19,19,0.505263157894737,4.13157894736842,2.31842105263158
"average.67382e41c232d1004b052fc4","average","7",2,24,11,1.15416666666667,5.71818181818182,3.43617424242424
"average.673feeafa80a279f5cc63e33","average","3",2,14,16,-0.242857142857143,-5.10625,-2.67455357142857
"average.673feeafa80a279f5cc63e33","average","5",2,15,13,1.58,-6.75384615384615,-2.58692307692308
"average.673feeafa80a279f5cc63e33","average","7",2,20,16,0.9,-4.8,-1.95
"average.696a97da7648c7e49fa8eb36","average","3",2,20,17,1.285,-3.38823529411765,-1.05161764705882
"average.696a97da7648c7e49fa8eb36","average","5",2,22,13,-1.18181818181818,-1.01538461538462,-1.0986013986014
"average.696a97da7648c7e49fa8eb36","average","7",2,20,17,2.695,0.0588235294117652,1.37691176470588
"average.6980f50102e1cb37d5b3464a","average","3",2,19,13,-0.926315789473684,1.79230769230769,0.432995951417004
"average.6980f50102e1cb37d5b3464a","average","5",2,22,17,0.8,3.34705882352941,2.07352941176471
"average.6980f50102e1cb37d5b3464a","average","7",2,21,20,0.214285714285714,3.35,1.78214285714286
