"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.63d40c3695dd423166c7c83d","average","3","middle",35,3.1575617053104,-0.897142857142857
"average.63d40c3695dd423166c7c83d","average","5","extreme",35,8.63606581899776,0.622857142857143
"average.63d40c3695dd423166c7c83d","average","5","middle",32,2.071875,0.0718750000000005
"average.63d40c3695dd423166c7c83d","average","7","extreme",37,7.74426206311023,-1.27027027027027
"average.63d40c3695dd423166c7c83d","average","7","middle",25,2.69252356020942,-0.251999999999999
"average.63e55e08efd239a8c8b9d39e","average","3","extreme",43,7.68198792486583,-2.55581395348837
"average.63e55e08efd239a8c8b9d39e","average","3","middle",26,2.62551775147929,0.3
"average.63e55e08efd239a8c8b9d39e","average","5","extreme",31,8.12852047146402,-0.141935483870968
"average.63e55e08efd239a8c8b9d39e","average","5","middle",39,2.85262573964497,-0.68974358974359
"average.63e55e08efd239a8c8b9d39e","average","7","extreme",32,8.20838341346154,1.965625
"average.63e55e08efd239a8c8b9d39e","average","7","middle",37,2.50201403326403,0.886486486486486
"average.63fa812428f289c772131458","average","3","extreme",38,7.83421052631579,-2.95526315789474
"average.63fa812428f289c772131458","average","3","middle",31,2.9169779286927,-1.04193548387097
"average.63fa812428f289c772131458","average","5","extreme",36,8.2312865497076,2.27222222222222
"average.63fa812428f289c772131458","average","5","middle",34,2.4969040247678,-2.42941176470588
"average.63fa812428f289c772131458","average","7","extreme",36,7.73084795321637,2.23055555555556
"average.63fa812428f289c772131458","average","7","middle",34,2.52956656346749,1.22058823529412
"average.65dfbf73ec3a047b5653add8","average","3","extreme",38,7.64697809116092,-0.344736842105263
"average.65dfbf73ec3a047b5653add8","average","3","middle",32,2.484375,-1.703125
"average.65dfbf73ec3a047b5653add8","average","5","extreme",41,7.65736958804995,0.48780487804878
"average.65dfbf73ec3a047b5653add8","average","5","middle",29,2.37817191882528,0.162068965517242
"average.65dfbf73ec3a047b5653add8","average","7","extreme",31,8.659607964192,1.49677419354839
"average.65dfbf73ec3a047b5653add8","average","7","middle",38,3.04524049357844,1.38157894736842
"average.65ebbd5d9188410923b21986","average","3","extreme",35,7.64655540720961,-0.862857142857143
"average.65ebbd5d9188410923b21986","average","3","middle",37,2.27374336953776,0.283783783783784
"average.65ebbd5d9188410923b21986","average","5","extreme",39,8.18826982985862,0.0564102564102563
"average.65ebbd5d9188410923b21986","average","5","middle",32,2.73256425233645,-0.253125
"average.65ebbd5d9188410923b21986","average","7","extreme",39,7.84249940091062,3.17948717948718
"average.65ebbd5d9188410923b21986","average","7","middle",32,2.81384345794393,0.853125
"average.66295cf0dbecaeeb1cddb852","average","3","extreme",35,8.59246630727763,-2.3
"average.66295cf0dbecaeeb1cddb852","average","3","middle",33,2.70132933104631,-1.9030303030303
"average.66295cf0dbecaeeb1cddb852","average","5","extreme",31,8.32588253195374,-0.229032258064516
"average.66295cf0dbecaeeb1cddb852","average","5","middle",41,2.56763690750115,1.11463414634146
"average.66295cf0dbecaeeb1cddb852","average","7","extreme",45,7.28623689727463,0.991111111111112
"average.66295cf0dbecaeeb1cddb852","average","7","middle",27,2.7045248078267,-0.111111111111111
