"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","variance_level"
"noise","exp4","sd_objective","X3 - X7","experience",0.182969800275816,0.0820671126468128,99,2.22951428866826,0.0711763112688899,NA
"noise","exp4","sd_objective","X5 - X7","experience",0.063299583401233,0.0795476435978158,99,0.795744292832466,0.706512090321777,NA
"condition","exp4","sd_objective","average - experience",NA,-0.0980442389115218,0.0900339077801118,99,-1.08897015945341,0.278810809288766,"X3"
"condition","exp4","sd_objective","average - experience",NA,0.0747089444378026,0.0739045452597473,99,1.01088429913516,0.314536120841849,"X5"
"condition","exp4","sd_objective","average - experience",NA,0.0966811676386643,0.102854668364551,99,0.93997841008047,0.349516480538567,"X7"
"noise","exp4","mean_rt","X3 - X5","average",8.77738116200645,16.7253636807384,99,0.524794637028721,0.859401157092031,NA
"noise","exp4","mean_rt","X3 - X7","average",20.8243313764516,20.7825222676525,99,1.0020117437268,0.577342100089491,NA
"noise","exp4","mean_rt","X5 - X7","average",12.0469502144452,15.1018741363519,99,0.797712264429941,0.705303445709509,NA
"noise","exp4","mean_rt","X3 - X5","experience",13.2897876138951,16.8917893089519,99,0.786760204666542,0.712018573989214,NA
"noise","exp4","mean_rt","X3 - X7","experience",10.7207180404277,20.9893186273776,99,0.510770179382766,0.86628151044623,NA
"noise","exp4","mean_rt","X5 - X7","experience",-2.56906957346732,15.2521452418608,99,-0.168439883880484,0.984482778712945,NA
"condition","exp4","mean_rt","average - experience",NA,-252.722755547951,162.200244572616,99,-1.55809108804894,0.122402803537997,"X3"
"condition","exp4","mean_rt","average - experience",NA,-248.210349096062,165.982767701617,99,-1.49539830268563,0.137991491454991,"X5"
"condition","exp4","mean_rt","average - experience",NA,-262.826368883975,165.665010082101,99,-1.58649293990157,0.115816553078373,"X7"
