"experiment","condition","variance_level","n","mean_z","se_z","mean_r","ci_low_r","ci_high_r"
"exp4","average","3",51,1.17336664568788,0.0347357780398139,0.825348443334455,0.80238921497005,0.845868286339047
"exp4","average","5",51,1.05910125191955,0.0347736935578665,0.785319636138556,0.757764906274985,0.810078623413254
"exp4","average","7",51,0.887703657487026,0.0380365335176211,0.710257670840492,0.671325417531501,0.745281144467642
"exp4","experience","3",50,1.20260341579328,0.0368601758198133,0.834446979372362,0.811141570346926,0.855106543652646
"exp4","experience","5",50,1.04045766713206,0.035109253992641,0.778068730490845,0.749425634315144,0.803804835591239
"exp4","experience","7",50,0.897845205248154,0.0343401727493153,0.715247042925506,0.680765031149897,0.746566103661372
