"experiment","scope","variance_level","n","M","SE","ci_low","ci_high","df","t","p","condition"
"exp4","pooled","3",100,-0.743141142300544,0.203545603133156,-1.14701977845823,-0.339262506142854,99,-3.65098106203942,0.000419525540707084,NA
"exp4","pooled","5",101,0.526375016000696,0.178661628779607,0.171915433048928,0.880834598952463,100,2.94621189561649,0.00400249020437761,NA
"exp4","pooled","7",100,1.41907230832766,0.188080513142475,1.04587976588729,1.79226485076803,99,7.54502571594262,2.23315839534393e-11,NA
"exp4","by_condition","3",51,-0.689860789723597,0.279519196673089,-1.25129161920841,-0.12842996023878,50,-2.46802651815869,0.017050974264217,"average"
"exp4","by_condition","5",51,0.675630252125523,0.263633768630838,0.146106243884591,1.20515426036646,50,2.56276066466887,0.0134416649776943,"average"
"exp4","by_condition","7",51,1.71366712109848,0.264330388313058,1.18274391104716,2.24459033114981,50,6.48304998920105,3.86410455083853e-08,"average"
"exp4","by_condition","3",49,-0.798596203145937,0.299258988064086,-1.40029672607904,-0.19689568021283,48,-2.66857883972701,0.0103589991928571,"experience"
"exp4","by_condition","5",50,0.374134675153372,0.241479061641139,-0.111135667405867,0.85940501771261,49,1.54934623569712,0.127733783845166,"experience"
"exp4","by_condition","7",49,1.11245321748455,0.263256210524795,0.583141130442955,1.64176530452614,48,4.22574348869833,0.000105902470013865,"experience"
