"experiment","condition","variance_level","n","se","inward","inward_low","inward_high"
"exp4","average","3",51,0.279519196673089,-0.689860789723597,-1.42167604811464,0.0419544686674497
"exp4","average","5",51,0.263633768630838,0.675630252125523,0.274975322158406,1.07628518209264
"exp4","average","7",51,0.264330388313058,1.71366712109848,1.21698111595461,2.21035312624235
"exp4","experience","3",49,0.299258988064086,-0.798596203145937,-0.99647750845339,-0.600714897838484
"exp4","experience","5",50,0.241479061641139,0.374134675153372,0.221493031836771,0.526776318469972
"exp4","experience","7",49,0.263256210524795,1.11245321748455,1.50445972866851,0.720446706300593
