"experiment","tail_prop","condition","variance_level","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"exp4",0.1,"average","3",706,14.018345955775,7.56246507006529,0.539469142359826
"exp4",0.1,"average","5",708,12.8148993894689,7.35346929473997,0.573821851522527
"exp4",0.1,"average","7",711,12.5582650874806,7.09108912883846,0.564655155743416
"exp4",0.1,"experience","3",699,14.6864260430147,7.71185984844969,0.525101193841347
"exp4",0.1,"experience","5",701,13.5949938948164,7.08897559171977,0.521440145289266
"exp4",0.1,"experience","7",702,13.3348246533377,7.08353200403995,0.531205485500473
