"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config"
"pavlovia","0","0","0.0-0.0","but","","","","","","","",""
"external-html","1","16178","0.0-1.0","but","16171.600000023842","external_page.html","","","","","",""
"instructions","2","19784","0.0-2.0","but","3605.7000000476837","","[{""page_index"":0,""viewing_time"":989.3999999761581},{""page_index"":1,""viewing_time"":1272.1000000238419},{""page_index"":2,""viewing_time"":584.2000000476837},{""page_index"":3,""viewing_time"":759.7999999523163}]","","","","",""
"survey-text","3","26809","0.0-3.0","but","7023","","","{""Q0"":""but""}","","","",""
"instructions","4","27616","0.0-4.0","but","806.2999999523163","","[{""page_index"":0,""viewing_time"":806.1999999284744}]","","","","",""
"survey-text","5","28576","0.0-5.0","but","959.2000000476837","","","{""Q0"":""""}","","","",""
"survey-text","6","30984","0.0-6.0-0.0","but","2406.600000023842","","","{""Q0"":""but""}","","","",""
"html-keyboard-response","7","31586","0.0-7.0","but","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation",""
"html-keyboard-response","8","33088","0.0-8.0","but","null","","","","<span class='grid'><div> </div> <div> </div> <div class='red' style='background-position:2900% 0%;margin-top:42px'></div> <div class='red' style='background-position:4800% 0%;margin-top:21px'></div> <div class='red' style='background-position:4500% 0%;margin-top:20px'></div> <div> </div> <div class='red' style='background-position:4300% 0%;margin-top:40px'></div> <div> </div> <div class='red' style='background-position:3700% 0%;margin-top:31px'></div> <div> </div> <div> </div> <div> </div> <div> </div> <div class='red' style='background-position:3500% 0%;margin-top:49px'></div> <div class='red' style='background-position:4700% 0%;margin-top:38px'></div> <div class='red' style='background-position:3100% 0%;margin-top:24px'></div> <div class='red' style='background-position:3600% 0%;margin-top:49px'></div> <div class='red' style='background-position:4000% 0%;margin-top:29px'></div></span>","null","stimulus",""
