"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","0","0.0-0.0","600db78b56935a5dd8c759b3","","","",""
"external-html","1","6335","0.0-1.0","600db78b56935a5dd8c759b3","6328.599999904633","external_page.html","",""
"instructions","2","22595","0.0-2.0","600db78b56935a5dd8c759b3","16259","","[{""page_index"":0,""viewing_time"":2694.9000000953674},{""page_index"":1,""viewing_time"":2148.4000000953674},{""page_index"":2,""viewing_time"":3434.699999809265},{""page_index"":3,""viewing_time"":7980.700000286102}]",""
"survey-text","3","26021","0.0-3.0","600db78b56935a5dd8c759b3","3423.0999999046326","","","{""Q0"":""600db78b56935a5dd8c759b3""}"
"instructions","4","27342","0.0-4.0","600db78b56935a5dd8c759b3","1320.3000001907349","","[{""page_index"":0,""viewing_time"":1320.0999999046326}]",""
"survey-text","5","41108","0.0-5.0","600db78b56935a5dd8c759b3","13764.5","","","{""Q0"":""Yellow""}"
"survey-text","6","48519","0.0-6.0-0.0","600db78b56935a5dd8c759b3","7408.699999809265","","","{""Q0"":""yellow""}"
