"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","2","0.0-0.0","600db78b56935a5dd8c759b3","","","",""
"external-html","1","5933","0.0-1.0","600db78b56935a5dd8c759b3","5803.099999904633","external_page.html","",""
"instructions","2","41849","0.0-2.0","600db78b56935a5dd8c759b3","35915.09999990463","","[{""page_index"":0,""viewing_time"":6240.5},{""page_index"":1,""viewing_time"":7404.099999904633},{""page_index"":2,""viewing_time"":14243.900000095367},{""page_index"":3,""viewing_time"":8026.300000190735}]",""
"survey-text","3","44850","0.0-3.0","600db78b56935a5dd8c759b3","2997.9000000953674","","","{""Q0"":""600db78b56935a5dd8c759b3""}"
"instructions","4","46468","0.0-4.0","600db78b56935a5dd8c759b3","1617.5999999046326","","[{""page_index"":0,""viewing_time"":1617.3999996185303}]",""
"survey-text","5","56852","0.0-5.0","600db78b56935a5dd8c759b3","10381.900000095367","","","{""Q0"":""giraffes""}"
"survey-text","6","68554","0.0-6.0-0.0","600db78b56935a5dd8c759b3","11701.300000190735","","","{""Q0"":""Giraffes""}"
"survey-text","7","84074","0.0-6.1-0.1","600db78b56935a5dd8c759b3","10752.199999809265","","","{""Q0"":""Giraffe""}"
"survey-text","8","93904","0.0-6.2-0.2","600db78b56935a5dd8c759b3","8260.400000095367","","","{""Q0"":""KANSAS""}"
