"level","n_trials","slope_without","slope_with","features","b_skew","b_reach_up","b_reach_down","b_item_sd","p_skew","p_reach_up","p_reach_down","p_item_sd"
"SD 3",7014,1.09050720624349,1.09048505207399,"skew, reach_up, reach_down, item_sd",0.169337954858747,0.0722790181673286,-0.0208848047634348,0.27444449044591,0.648422027998571,0.589745511493246,0.875424216038471,0.694084367770512
"SD 5",7027,0.936795985946634,0.936952674644624,"skew, reach_up, reach_down, item_sd",-0.244482248495351,-0.0155671795108938,-0.0492416209485778,0.0985571693365417,0.559962424530616,0.863579250670471,0.58594978255121,0.887796373822049
"SD 7",7036,0.821192361616581,0.819315905390464,"skew, reach_up, reach_down, item_sd",-0.439187663047637,-0.0845229399824166,0.00218665018989324,0.65976547726928,0.332421526746756,0.228073499546915,0.97514979003413,0.365083143718776
