"experiment","zone","level","n_trials","sd_report","bias"
"exp4","high (>= 32)","SD 3",1143,5.89233898281385,0.219597550306211
"exp4","high (>= 32)","SD 5",1122,5.84418204406445,-0.931372549019609
"exp4","high (>= 32)","SD 7",1275,6.04669509868214,-1.56156862745098
"exp4","low (<= 17)","SD 3",1341,5.14911940953151,-0.88441461595824
"exp4","low (<= 17)","SD 5",1347,5.2625707631279,0.414996288047512
"exp4","low (<= 17)","SD 7",1194,6.05736101470784,1.52931323283082
"exp4","middle","SD 3",4530,5.4973167401301,-1.060706401766
"exp4","middle","SD 5",4558,5.58866710838648,-0.250767880649408
"exp4","middle","SD 7",4567,5.94131969344515,0.0637179767900153
