"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"SD 3","14-17",1341,2.86032166943516,-0.0148101689396525,11.0671140939597,19.7680835197614,0,-0.00126771066368371
"SD 3","18-21",1364,2.86382482165446,-0.0111842722909626,15.1107038123167,23.8306451612903,0,-0.00557184750733145
"SD 3","22-28",2198,2.85593783855465,-0.017583519499686,20.5964513193813,29.2620564149227,0,0.00141037306642412
"SD 3","29-31",968,2.85575565637769,-0.0174278258099218,25.6497933884298,34.3161157024793,0,0.00537190082644633
"SD 3","32+",1143,2.85996601715559,-0.00497608572870412,28.9720034995626,37.6981627296588,0,-0.000174978127733962
"SD 5","14-17",1347,4.74374597422931,-0.00163178576281066,8.29769858945805,22.7847067557535,0,0.00111358574610255
"SD 5","18-21",1278,4.74860377726474,-0.000437250148196893,12.1956181533646,26.7519561815336,0,-0.000782472613458532
"SD 5","22-28",2331,4.74686378221822,0.00207934100731095,17.7348777348777,32.2466752466752,0,0.000514800514800541
"SD 5","29-31",949,4.74392014986608,0.00919407888365948,22.7713382507903,37.277133825079,0,0.000105374077976814
"SD 5","32+",1122,4.74888719856042,0.0177590429620943,26.1105169340463,40.6675579322638,0,-0.000356506238859141
"SD 7","14-17",1194,6.6465686061833,0.0223656679149177,5.55862646566164,25.6624790619765,0.0309882747068677,-0.00150753768844211
"SD 7","18-21",1250,6.64741840895842,-0.00209018344580106,9.3896,29.6504,8e-04,0.00328000000000002
"SD 7","22-28",2288,6.64590749794747,-0.00951866492693138,14.9252622377622,35.1761363636364,0,0.000262237762237902
"SD 7","29-31",1029,6.64666819015987,-0.00598392742301329,19.8357628765792,40.1457725947522,0,0.00408163265306121
"SD 7","32+",1275,6.64359896846181,-0.0354867620691666,23.0690196078431,43.3482352941177,0,0.00156862745098044
