"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp4","raw","low","SD 3",0.329442295565469,0.0340605025390155,2780
"exp4","raw","low","SD 5",0.322238652652216,0.0398682066767174,2780
"exp4","raw","low","SD 7",0.348686108408134,0.043670255516492,2780
"exp4","raw","mid","SD 3",0.656289615061249,0.015155925596754,16530
"exp4","raw","mid","SD 5",0.64118127389662,0.0164241910910542,16530
"exp4","raw","mid","SD 7",0.591486583058947,0.0185059838224716,16530
"exp4","raw","high","SD 3",0.0887487873005745,0.0377301930771404,1767
"exp4","raw","high","SD 5",0.13538714366563,0.0470312803199495,1767
"exp4","raw","high","SD 7",0.152989201108914,0.0467456768739158,1767
"exp4","shift_removed","low","SD 3",0.253521151804041,0.0394578995039188,2348
"exp4","shift_removed","low","SD 5",0.231020950233306,0.0410768774252709,2348
"exp4","shift_removed","low","SD 7",0.274438547370938,0.0414902932992332,2348
"exp4","shift_removed","mid","SD 3",0.700940582820785,0.0131941226179985,17023
"exp4","shift_removed","mid","SD 5",0.699505361511627,0.0154474899022153,17023
"exp4","shift_removed","mid","SD 7",0.667775190059764,0.018086720697056,17023
"exp4","shift_removed","high","SD 3",0.103563610463079,0.034008291544068,1706
"exp4","shift_removed","high","SD 5",0.0755028878745515,0.0487367173396781,1706
"exp4","shift_removed","high","SD 7",0.0586779246755246,0.0519259625042889,1706
