"experiment","level","n_trials","r","sd_true","sd_report","z_forward","z_reverse","raw_forward","raw_reverse"
"exp4","SD 3",7014,0.798477302284521,6.28204189043619,8.52634626799604,0.798477302284524,0.798477302284523,1.08373902707938,0.588302152393441
"exp4","SD 5",7027,0.748767800894712,6.20127551746226,7.76248451551895,0.748767800894711,0.748767800894706,0.937274669347849,0.59817387367013
"exp4","SD 7",7036,0.678835347235455,6.2255391973675,7.49688699998292,0.678835347235455,0.678835347235454,0.817463633024799,0.563716121475824
