"split","earlier","later","change_earlier","change_later","n","mean","se","t","p"
"half","early","late",-0.136955953612013,-0.133406263655539,99,0.00354968995647361,0.0262855510330649,0.135043391405735,0.892854546722297
"block","first block","second block",-0.139542092414281,-0.14146271901705,103,-0.00192062660276952,0.0264814168918282,-0.0725273353240476,0.942324281276909
