"experiment","version","segment","n_participants","lowest_minus_highest","p"
"exp4","raw","low",96,0.267603118157487,0.248063019013803
"exp4","raw","mid",101,0.0330378807044379,0.0513035871494333
"exp4","raw","high",80,0.535378826138664,0.0993429965088138
"exp4","shift_removed","low",97,0.18135634021357,0.503731065831303
"exp4","shift_removed","mid",101,0.0371744770111054,0.0199427393676133
"exp4","shift_removed","high",84,0.398414801934456,0.229293640639468
