"level","band","n_trials","p","inward_skew"
"SD 3","14-17",1250,0.21794975333566,-0.0161664265253883
"SD 3","32+",1257,0.724818625862459,0.00459292047054783
"SD 5","14-17",1254,0.780671060135303,0.00378700832889919
"SD 5","32+",1222,0.26715891394371,-0.0156001153090494
"SD 7","14-17",1095,0.0722679992812222,0.0235568620965237
"SD 7","32+",1369,0.0137866460346079,0.0300394032800242
