"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp4","raw","SD 3",1,15.36,5,2.03543607121422,14,18.9
"exp4","raw","SD 3",2,15.5428571428571,7,1.8707014217998,14,19
"exp4","raw","SD 3",3,16.425,12,2.33047985694714,13.9,21.8
"exp4","raw","SD 3",4,16.75625,16,2.67057266018608,13.9,23
"exp4","raw","SD 3",5,16.3652173913043,23,2.49647181868772,13.8,22.9
"exp4","raw","SD 3",6,17.2954545454545,44,4.16764696008819,13.9,35
"exp4","raw","SD 3",7,16.1609756097561,41,2.27210013520317,13.8,22
"exp4","raw","SD 3",8,16.7396825396825,63,3.24124327413256,13.9,27.1
"exp4","raw","SD 3",9,17.2355263157895,76,3.16116872679999,13.9,26.9
"exp4","raw","SD 3",10,17.4805555555556,108,2.96838350336559,13.9,26.9
"exp4","raw","SD 3",11,17.0295597484277,159,3.08498924888099,13.8,34
"exp4","raw","SD 3",12,17.7522727272727,176,3.16063202622431,13.7,28.9
"exp4","raw","SD 3",13,18.05,214,3.67403974871222,13.7,31.1
"exp4","raw","SD 3",14,17.9545454545455,242,3.54034248290551,13.8,32.9
"exp4","raw","SD 3",15,18.8664335664336,286,3.89919369183531,13.8,32
"exp4","raw","SD 3",16,18.9414814814815,270,3.60094752473067,13.9,33
"exp4","raw","SD 3",17,19.811149825784,287,3.96066512768973,13.8,32.9
"exp4","raw","SD 3",18,20.5108108108108,296,4.18072469810848,13.9,34.9
"exp4","raw","SD 3",19,20.4597359735974,303,4.03127211894045,13.8,34.9
"exp4","raw","SD 3",20,21.5898916967509,277,4.00195228478266,13.8,34
"exp4","raw","SD 3",21,22.3114285714286,245,4.38488835680446,13.9,35
"exp4","raw","SD 3",22,23.765,260,4.23692697518498,14,35.1
"exp4","raw","SD 3",23,24.0048780487805,246,4.13768847346372,14,33.9
"exp4","raw","SD 3",24,24.7914590747331,281,4.40751772615322,14.2,35.1
"exp4","raw","SD 3",25,25.4661290322581,248,4.50046128264233,14.1,35.1
"exp4","raw","SD 3",26,26.0643442622951,244,4.35591447646338,13.9,35
"exp4","raw","SD 3",27,27.0996350364964,274,4.18292795936054,14,35.1
"exp4","raw","SD 3",28,27.7909090909091,231,4.13550423248689,13.9,35.1
"exp4","raw","SD 3",29,28.6533088235294,272,3.94009432054991,16,35.2
"exp4","raw","SD 3",30,28.7570815450644,233,4.05129333087651,14,35.1
"exp4","raw","SD 3",31,29.3097345132743,226,3.91088428992773,17,35.1
"exp4","raw","SD 3",32,29.6739726027397,219,3.42295384793858,14,35.1
"exp4","raw","SD 3",33,29.9248587570621,177,4.20210351914597,13.9,35.2
"exp4","raw","SD 3",34,30.714375,160,3.52411007322077,14,35.1
"exp4","raw","SD 3",35,31.3011834319527,169,3.20856347039191,19.1,35.2
"exp4","raw","SD 3",36,31.7742424242424,132,2.98856909293137,20.9,35.2
"exp4","raw","SD 3",37,31.3441176470588,102,3.67015184430829,15,35.1
"exp4","raw","SD 3",38,31.6543689320388,103,3.19214036926081,16,35.2
"exp4","raw","SD 3",39,32.0457627118644,59,2.85556456365572,19,35.2
"exp4","raw","SD 3",40,31.9021739130435,46,2.88216655625087,24.1,35.2
"exp4","raw","SD 3",41,31.6620689655172,29,2.5012016816356,26.2,35
"exp4","raw","SD 3",42,32.5571428571429,35,2.29978077142989,26.2,35.1
"exp4","raw","SD 3",43,32.7071428571429,28,2.10694241715486,27.9,35.1
"exp4","raw","SD 3",44,33.5227272727273,22,1.65037710501103,28.8,35
"exp4","raw","SD 3",45,32.535,20,1.87792578744686,29,35.1
"exp4","raw","SD 3",46,32.4705882352941,17,2.6241104935488,27.1,35.1
"exp4","raw","SD 3",48,32.7677419354839,31,1.67399464291739,28.9,35
"exp4","raw","SD 5",1,15.55,4,1.81567251085284,13.8,18.1
"exp4","raw","SD 5",2,17.025,4,5.4107146786107,13.9,25.1
"exp4","raw","SD 5",3,16.1166666666667,6,1.90621789590452,15,19.9
"exp4","raw","SD 5",4,17.1428571428571,7,2.38457343694642,13.9,21.1
"exp4","raw","SD 5",5,18.1571428571429,7,4.40524579066713,14,26.1
"exp4","raw","SD 5",6,15.7826086956522,23,2.18187829297958,13.8,21.1
"exp4","raw","SD 5",7,16.3431818181818,44,2.69438673414751,13.9,27.1
"exp4","raw","SD 5",8,17.3075,40,3.39013557704839,13.9,27
"exp4","raw","SD 5",9,16.7136363636364,66,3.05890308965291,13.8,26.9
"exp4","raw","SD 5",10,17.1910112359551,89,3.68367530307826,13.8,34
"exp4","raw","SD 5",11,17.0773195876289,97,2.84236935915851,13.8,26.1
"exp4","raw","SD 5",12,17.6306451612903,124,3.5613365861106,13.8,30.1
"exp4","raw","SD 5",13,18.4713333333333,150,3.77544764520715,13.9,34
"exp4","raw","SD 5",14,18.686,200,4.03956612427149,13.9,31.1
"exp4","raw","SD 5",15,18.1317391304348,230,3.58036756447091,13.8,35.1
"exp4","raw","SD 5",16,19.0421686746988,249,4.20247010165511,13.8,33.1
"exp4","raw","SD 5",17,19.2602836879433,282,4.43719124124773,13.9,35.1
"exp4","raw","SD 5",18,20.2459183673469,294,4.35192872468204,13.8,35
"exp4","raw","SD 5",19,20.8258620689655,290,4.34971105689643,13.9,35.1
"exp4","raw","SD 5",20,20.9444078947368,304,4.40151882480195,13.9,33.9
"exp4","raw","SD 5",21,21.7867867867868,333,4.53196208135205,14,35
"exp4","raw","SD 5",22,22.8735785953177,299,4.72188296778091,13.8,34.9
"exp4","raw","SD 5",23,23.5535714285714,308,4.91249356910954,13.8,35.1
"exp4","raw","SD 5",24,24.5403448275862,290,4.55199031168098,13.9,34.9
"exp4","raw","SD 5",25,25.1566433566434,286,4.91951444531087,13.9,35
