"experiment","version","band","level","n_trials","n_participants","mean_report","sd_report","mean_objective","sd_objective","gap"
"exp4","raw","extreme low (1-9)","SD 3",287,64,6.87456445993031,2.03937149285395,16.7780487804878,3.10939907586607,9.90348432055749
"exp4","raw","extreme low (1-9)","SD 5",201,57,7.22885572139303,1.93322610785174,16.6746268656716,3.00279919160017,9.44577114427861
"exp4","raw","extreme low (1-9)","SD 7",159,59,7.12578616352201,2.09804652470038,17.3786163522013,3.86145123863276,10.2528301886792
"exp4","raw","low (10-14)","SD 3",899,99,12.3592880978865,1.35836513503173,17.7171301446051,3.37179711848305,5.35784204671858
"exp4","raw","low (10-14)","SD 5",660,97,12.4166666666667,1.39825203401685,18.0009090909091,3.73354954326663,5.58424242424242
"exp4","raw","low (10-14)","SD 7",575,96,12.3826086956522,1.36648923684712,18.2789565217391,4.12843782916204,5.89634782608696
"exp4","raw","high (36-40)","SD 3",442,88,37.5135746606335,1.32001730906348,31.6966063348416,3.17280283019996,5.81696832579186
"exp4","raw","high (36-40)","SD 5",416,87,37.53125,1.38110637507656,31.1199519230769,3.49436875697618,6.41129807692308
"exp4","raw","high (36-40)","SD 7",464,84,37.5538793103448,1.40705797047271,30.707974137931,4.04142173294496,6.84590517241379
"exp4","raw","extreme high (41-50)","SD 3",182,52,43.9615384615385,2.36541700764569,32.5796703296703,2.15311002125883,11.3818681318681
"exp4","raw","extreme high (41-50)","SD 5",127,47,43.0866141732283,2.32318754084905,31.9196850393701,2.98232995550535,11.1669291338583
"exp4","raw","extreme high (41-50)","SD 7",136,45,43,2.25092573548455,31.6044117647059,3.56727653450617,11.3955882352941
"exp4","shift_removed","extreme low (1-9)","SD 3",179,62,7.33519553072626,1.75762906594738,16.1335195530726,2.44220714629248,8.79832402234637
"exp4","shift_removed","extreme low (1-9)","SD 5",152,57,7.31578947368421,1.89953306437922,16.5302631578947,2.62055146801479,9.21447368421053
"exp4","shift_removed","extreme low (1-9)","SD 7",137,47,7.1970802919708,1.95478077625387,16.8729927007299,3.47038952826444,9.67591240875912
"exp4","shift_removed","low (10-14)","SD 3",765,101,12.521568627451,1.34538872992773,17.2916339869281,3.11055592948695,4.77006535947712
"exp4","shift_removed","low (10-14)","SD 5",598,97,12.4648829431438,1.33673928996021,17.2867892976589,3.23653392044278,4.82190635451505
"exp4","shift_removed","low (10-14)","SD 7",512,97,12.34765625,1.38068673708018,17.9310546875,3.88997311841278,5.5833984375
"exp4","shift_removed","high (36-40)","SD 3",494,94,37.5384615384615,1.32289039895431,31.7603238866397,3.14828339464835,5.77813765182186
"exp4","shift_removed","high (36-40)","SD 5",427,94,37.5831381733021,1.38044576291048,31.3526932084309,3.48128612128336,6.2304449648712
"exp4","shift_removed","high (36-40)","SD 7",409,87,37.4743276283619,1.35036345878728,30.979706601467,3.77957668445903,6.49462102689487
"exp4","shift_removed","extreme high (41-50)","SD 3",188,62,43.6968085106383,2.53712339225367,32.5420212765957,2.36550300121195,11.1547872340426
"exp4","shift_removed","extreme high (41-50)","SD 5",98,44,43.030612244898,1.91281129335129,31.8826530612245,3.34078284270378,11.1479591836735
"exp4","shift_removed","extreme high (41-50)","SD 7",86,41,42.9883720930233,2.04360803221403,31.3174418604651,4.39553762650165,11.6709302325581
