"level","n_trials","slope_without","slope_with","features","b_skew","b_reach_up","b_reach_down","b_item_sd","p_skew","p_reach_up","p_reach_down","p_item_sd"
"SD 3",7014,1.09025949927596,1.09019447464322,"skew, reach_up, reach_down, item_sd",0.435900602958497,-0.0178221336458732,0.0648572551322238,0.287964110229771,0.268249587009655,0.899542149203802,0.642254534310288,0.679745411740445
"SD 5",7027,0.936864758866584,0.937068939695196,"skew, reach_up, reach_down, item_sd",-0.116155983246725,-0.0420996669793971,-0.023913988722025,0.113181610431604,0.786575711101328,0.649042239106158,0.795186246179568,0.871261869055875
"SD 7",7037,0.820289876728707,0.818386289841361,"skew, reach_up, reach_down, item_sd",-0.408813472651377,-0.0878576916231544,0.00647567984480313,0.576364225425762,0.374047141971141,0.215984331437393,0.927488111112917,0.429844517192383
