"experiment","level","mean_shift","sd_shift"
"exp4","SD 3",-0.818192187054462,2.24414935293633
"exp4","SD 5",-0.232019353920591,2.23216504527694
"exp4","SD 7",0.01236322296433,2.52040016343663
