"level","mean_diff","max_abs_diff","r_true_itemsd","r_true_skew"
"SD 3",0,0,-0.0104805926008045,0.00150265791941928
"SD 5",0,0,0.00278050955667611,0.0122480576299189
"SD 7",0,0,-0.0104977344650361,-0.0373654710543279
