"comparison","model","frame","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","experience","no frame","2",0.921774001406336,0.0158907286121126,10326.7196529222,0.890625094773243,0.952922908039429,58.0070318930324,0
"compare_exp2_exp3","experience","Mondrian frame","2",0.879317876249865,0.0231411718346186,10343.2709196979,0.833956704761554,0.924679047738177,37.9979839626975,7.26739372318553e-296
"compare_exp2_exp3","experience","no frame","10",0.82955329761819,0.0156236347515428,10369.2212782496,0.798927961411047,0.860178633825333,53.0960503628179,0
"compare_exp2_exp3","experience","Mondrian frame","10",0.791018536649708,0.0220744701442698,10375.9116774328,0.74774832266778,0.834288750631635,35.8340894019168,3.07813808368908e-265
"compare_exp2_exp3","experience","no frame","20",0.871093964573129,0.0158705810001584,10344.1729592478,0.839984557315573,0.902203371830686,54.8873393207491,0
"compare_exp2_exp3","experience","Mondrian frame","20",0.887555708272848,0.0224383760145008,10322.4879038141,0.843572142124201,0.931539274421494,39.5552560354308,9.84850695794107e-319
"compare_exp2_exp3","average","no frame","2",0.81194209401134,0.01337183372137,11836.2040457623,0.785731101190962,0.838153086831718,60.7203253442905,0
"compare_exp2_exp3","average","Mondrian frame","2",0.822440037723792,0.018091774618366,11829.2167834826,0.786977182504621,0.857902892942964,45.4593347016874,0
"compare_exp2_exp3","average","no frame","10",0.68051522332795,0.0132394878067295,11855.6689712276,0.654563654619361,0.706466792036539,51.4004192051938,0
"compare_exp2_exp3","average","Mondrian frame","10",0.70052208473572,0.01860865725676,11834.795793869,0.664046056252811,0.736998113218629,37.644956058355,4.96501482335645e-293
"compare_exp2_exp3","average","no frame","20",0.740744533139929,0.0132285640348907,11826.4523739408,0.714814370276204,0.766674696003653,55.995838337872,0
"compare_exp2_exp3","average","Mondrian frame","20",0.741316049572071,0.0185098186517419,11821.0438870486,0.705033756692176,0.777598342451965,40.0498818232509,0
