"comparison","model","formula","rand_used","singular"
"compare_exp2_exp3","experience","indexSelected ~ meanVal_c * array_length * frame + (1 + array_length | participant_id)","noise_slope",FALSE
"compare_exp2_exp3","average","indexSelected ~ meanVal_c * array_length * frame + (1 + array_length | participant_id)","noise_slope",FALSE
