"comparison","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"compare_exp2_exp3","both conditions","meanVal_c",559199.248959123,559199.248959123,1,22304.2574871101,25020.4243928862,0
"compare_exp2_exp3","both conditions","array_length",6582.36578017815,3291.18289008907,2,245.618551092587,147.258410696925,9.32341342568701e-43
"compare_exp2_exp3","both conditions","frame",66.5566005182587,66.5566005182587,1,243.339586774805,2.97796249586228,0.08567490815224
"compare_exp2_exp3","both conditions","condition",147.268277194131,147.268277194131,1,243.339586841082,6.58926992814274,0.0108585609590219
"compare_exp2_exp3","both conditions","meanVal_c:array_length",1680.02263470284,840.011317351419,2,22188.8136989742,37.5848853411037,5.06615219505182e-17
"compare_exp2_exp3","both conditions","meanVal_c:frame",6.53487961322614,6.53487961322614,1,22304.257512483,0.292392133186306,0.588697057186481
"compare_exp2_exp3","both conditions","array_length:frame",220.464006806264,110.232003403132,2,245.618551125349,4.93214451192163,0.00794129540026216
"compare_exp2_exp3","both conditions","meanVal_c:condition",2784.58975668669,2784.58975668669,1,22304.2575095218,124.591757950443,7.45605929966691e-29
"compare_exp2_exp3","both conditions","array_length:condition",230.974766918834,115.487383459417,2,245.618551078144,5.16728760197212,0.00633582538950335
"compare_exp2_exp3","both conditions","frame:condition",28.6149384826698,28.6149384826698,1,243.339586794296,1.28032701428944,0.258952098513581
"compare_exp2_exp3","both conditions","meanVal_c:array_length:frame",22.8753832764013,11.4376916382006,2,22188.8136991381,0.511760163117932,0.599446613430692
"compare_exp2_exp3","both conditions","meanVal_c:array_length:condition",112.413699767165,56.2068498835825,2,22188.8136967881,2.51488041246866,0.0808956344267919
"compare_exp2_exp3","both conditions","meanVal_c:frame:condition",52.7119437705542,52.7119437705542,1,22304.257513977,2.3585067508015,0.124615593725152
"compare_exp2_exp3","both conditions","array_length:frame:condition",14.6485477986307,7.32427389931534,2,245.618551103697,0.327712245092813,0.720884912082534
"compare_exp2_exp3","both conditions","meanVal_c:array_length:frame:condition",60.7258879525966,30.3629439762983,2,22188.8136978811,1.35853856298713,0.257057523698563
