"experiment","label","noise_var","noise_level","model","condition","slope","SE","ci_low","ci_high"
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","7","combined","experience",0.592522234356562,0.0218900053692441,0.549192563408987,0.635851905304138
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","3","experience","experience",0.621527728170564,0.02163712937475,0.578190926563274,0.664864529777854
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","5","experience","experience",0.616353402949568,0.0218668781590197,0.572596251237418,0.660110554661719
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","7","experience","experience",0.591853566964693,0.0220189849009547,0.547817095301116,0.63589003862827
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","3","average","average",0.62649417549163,0.0214147433423997,0.583645620943304,0.669342730039955
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","5","average","average",0.660263378347191,0.0217519752255167,0.616794902981546,0.703731853712836
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","7","average","average",0.623740313693898,0.0219292906627662,0.579944472908478,0.667536154479318
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","combined","average",0.744851461130225,0.0149040428965249,0.715636307938111,0.77406661432234
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","combined","experience",0.641064059589792,0.0143982348392954,0.612840396125979,0.669287723053604
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","combined","average",0.72471095770381,0.0162018764809732,0.692951760305718,0.756470155101903
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","combined","experience",0.644310962445117,0.0152842879836632,0.614350424552949,0.674271500337285
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","combined","average",0.732273224353435,0.0153626026726843,0.702159162480552,0.762387286226317
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","combined","experience",0.623148518688259,0.014657676707115,0.594416295264328,0.65188074211219
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","experience","experience",0.624690450860413,0.014216905980115,0.596818042433854,0.652562859286971
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","experience","experience",0.643658142217137,0.015240537789047,0.61377886862874,0.673537415805534
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","experience","experience",0.612822298155497,0.0145239213940556,0.584347972693295,0.6412966236177
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","average","average",0.744219432681879,0.0151284904686314,0.714561157216103,0.773877708147654
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","average","average",0.724934950833401,0.0164557084078581,0.692674752254496,0.757195149412306
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","average","average",0.731857055103096,0.0156010093708647,0.701272384649818,0.762441725556373
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","2","experience","experience",0.726972551959167,0.0274330108284361,0.672086253125135,0.781858850793199
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","10","experience","experience",0.730921027610558,0.0278530336278435,0.675259061837726,0.786582993383391
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","20","experience","experience",0.68239218703247,0.0276333093059813,0.627136373079027,0.737648000985914
