"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","3","0.0-0.0","66c3f9c82a62ec48ab383e47","","","",""
"external-html","1","18013","0.0-1.0","66c3f9c82a62ec48ab383e47","17472","external_page.html","",""
"instructions","2","110840","0.0-2.0","66c3f9c82a62ec48ab383e47","92825.29999995232","","[{""page_index"":0,""viewing_time"":19042.899999976158},{""page_index"":1,""viewing_time"":16278.5},{""page_index"":2,""viewing_time"":53356.299999952316},{""page_index"":3,""viewing_time"":4147}]",""
"survey-text","3","154238","0.0-3.0","66c3f9c82a62ec48ab383e47","43387.300000071526","","","{""Q0"":""66c3f9c82a62ec48ab383e47""}"
"instructions","4","156070","0.0-4.0","66c3f9c82a62ec48ab383e47","1830.2000000476837","","[{""page_index"":0,""viewing_time"":1829.8999999761581}]",""
"survey-text","5","170467","0.0-5.0","66c3f9c82a62ec48ab383e47","14394.100000023842","","","{""Q0"":""Girafffes""}"
"survey-text","6","180246","0.0-6.0-0.0","66c3f9c82a62ec48ab383e47","9774.100000023842","","","{""Q0"":""Girafffes""}"
"survey-text","7","231565","0.0-6.1-0.1","66c3f9c82a62ec48ab383e47","44871.299999952316","","","{""Q0"":""Giraffes""}"
"survey-text","8","253093","0.0-6.2-0.2","66c3f9c82a62ec48ab383e47","13952.299999952316","","","{""Q0"":""Giraffe""}"
