"experiment","term","b","SE","df","t","p"
"exp2","(Intercept)",22.7748828596135,0.207734285807266,161.180014924311,109.634684381103,2.64627520751143e-153
"exp2","meanVal_c",0.809305291615047,0.00595312871456016,14741.4253385983,135.946210878265,0
"exp2","array_length1",-1.15966090895844,0.111221161970772,161.918593101165,-10.4266210531337,8.5129068736179e-20
"exp2","array_length2",0.750909666094269,0.0671504317600909,162.610234403083,11.1824994480609,6.785245908498e-22
"exp2","condition1",-0.677762946146473,0.207734285807266,161.180014920526,-3.26264363878428,0.00134748044760799
"exp2","meanVal_c:array_length1",0.0576344750645905,0.00845929937203715,14681.8456817361,6.81314994656715,9.92003097402927e-12
"exp2","meanVal_c:array_length2",-0.0541480919492737,0.00841709858325239,14654.0322121265,-6.43310654065677,1.28901592844625e-10
"exp2","meanVal_c:condition1",-0.0647216986673392,0.00595312871456015,14741.4253392358,-10.871879606608,1.99431908530351e-27
"exp2","array_length1:condition1",0.269111003153401,0.111221161970772,161.9185930651,2.41960251434993,0.0166448351506926
"exp2","array_length2:condition1",-0.105653602166163,0.0671504317600909,162.610234427705,-1.57338678839226,0.117572940016282
"exp2","meanVal_c:array_length1:condition1",0.0101822283897374,0.00845929937203715,14681.84568444,1.20367277973345,0.22873548372287
"exp2","meanVal_c:array_length2:condition1",-0.00960891439183489,0.00841709858325239,14654.0322118613,-1.14159461206191,0.253641218616511
