"experiment","condition","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2","experience","meanVal_c",229933.514226507,229933.514226507,1,6964.58244260411,8842.54407375264,0
"exp2","experience","array_length",2398.75397792539,1199.3769889627,2,77.212037287961,46.1243934866314,6.61471661447542e-14
"exp2","experience","meanVal_c:array_length",423.336124484409,211.668062242204,2,6930.82354143954,8.14011030831598,0.000294401857862816
"exp2","average","meanVal_c",190017.246483303,190017.246483303,1,7783.05858973887,9621.22061177411,0
"exp2","average","array_length",1674.41631924417,837.208159622085,2,85.0912827585794,42.3907016377551,1.68329861448096e-13
"exp2","average","meanVal_c:array_length",979.615913667945,489.807956833972,2,7742.701124922,24.8006457167353,1.83471949777341e-11
