"participant_id","condition","array_length","side","n_trials","inward"
"average.5a937cb0dbdb470001ee923b","average","2","low",6,-2.33333333333333
"average.5a937cb0dbdb470001ee923b","average","10","high",12,3.03333333333333
"average.5a937cb0dbdb470001ee923b","average","10","low",6,-0.366666666666666
"average.5a937cb0dbdb470001ee923b","average","20","high",4,5.5
"average.5a937cb0dbdb470001ee923b","average","20","low",13,0.192307692307692
"average.5c476621b521ee00019abf67","average","2","high",7,3.85714285714286
"average.5c476621b521ee00019abf67","average","2","low",6,-6.83333333333333
"average.5c476621b521ee00019abf67","average","10","high",10,7.4
"average.5c476621b521ee00019abf67","average","10","low",8,-1.575
"average.5c476621b521ee00019abf67","average","20","high",14,8.35714285714286
"average.5c476621b521ee00019abf67","average","20","low",7,-0.0714285714285714
"average.5d7bde81c7390f00169b2fdf","average","2","high",7,1.42857142857143
"average.5d7bde81c7390f00169b2fdf","average","2","low",7,-1.71428571428571
"average.5d7bde81c7390f00169b2fdf","average","10","high",11,-0.163636363636362
"average.5d7bde81c7390f00169b2fdf","average","10","low",7,-1.05714285714286
"average.5d7bde81c7390f00169b2fdf","average","20","high",8,-2.875
"average.5d7bde81c7390f00169b2fdf","average","20","low",14,4.92857142857143
"average.5d9420526928f000181e12f1","average","2","high",13,3.15384615384615
"average.5d9420526928f000181e12f1","average","2","low",8,-3.25
"average.5d9420526928f000181e12f1","average","10","high",9,6.08888888888889
"average.5d9420526928f000181e12f1","average","10","low",8,4.675
"average.5d9420526928f000181e12f1","average","20","high",6,4.5
"average.5d9420526928f000181e12f1","average","20","low",7,1.21428571428571
"average.5e3a8aeedc1d57292aea3f22","average","2","high",6,2.5
"average.5e3a8aeedc1d57292aea3f22","average","2","low",8,-1.625
"average.5e3a8aeedc1d57292aea3f22","average","10","high",11,7.2
"average.5e3a8aeedc1d57292aea3f22","average","10","low",7,2.37142857142857
"average.5e3a8aeedc1d57292aea3f22","average","20","high",4,8
"average.5e3a8aeedc1d57292aea3f22","average","20","low",10,-0.6
"average.5f4a4da1575d605c43bef871","average","2","high",12,8.5
"average.5f4a4da1575d605c43bef871","average","2","low",10,-2.2
"average.5f4a4da1575d605c43bef871","average","10","high",12,6.36666666666667
"average.5f4a4da1575d605c43bef871","average","10","low",4,-0.199999999999999
"average.5f4a4da1575d605c43bef871","average","20","high",7,6.92857142857143
"average.5f4a4da1575d605c43bef871","average","20","low",11,-1.59090909090909
"average.5f79bca83a2eb65c0983816d","average","2","high",8,1.5
"average.5f79bca83a2eb65c0983816d","average","2","low",8,2.25
"average.5f79bca83a2eb65c0983816d","average","10","high",8,-1.175
"average.5f79bca83a2eb65c0983816d","average","10","low",7,0.800000000000001
"average.5f79bca83a2eb65c0983816d","average","20","high",4,-2.5
"average.5f79bca83a2eb65c0983816d","average","20","low",16,1.0625
"average.60121fca666552254559110d","average","2","high",6,2.83333333333333
"average.60121fca666552254559110d","average","2","low",7,-0.857142857142857
"average.60121fca666552254559110d","average","10","high",10,0.500000000000002
"average.60121fca666552254559110d","average","10","low",6,4.63333333333333
"average.60121fca666552254559110d","average","20","high",7,1.64285714285714
"average.60121fca666552254559110d","average","20","low",7,2.21428571428571
"average.603470186bba1c26a354c27e","average","2","high",9,7.33333333333333
"average.603470186bba1c26a354c27e","average","2","low",7,-4.71428571428571
"average.603470186bba1c26a354c27e","average","10","high",12,6.45
"average.603470186bba1c26a354c27e","average","10","low",6,-4.03333333333333
"average.603470186bba1c26a354c27e","average","20","high",10,5.5
"average.603470186bba1c26a354c27e","average","20","low",8,-4.5
"average.605fbc12c61d8d10250f6e51","average","2","high",15,2.26666666666667
"average.605fbc12c61d8d10250f6e51","average","2","low",4,-1.75
"average.605fbc12c61d8d10250f6e51","average","10","high",7,3.48571428571429
"average.605fbc12c61d8d10250f6e51","average","10","low",9,-0.866666666666666
"average.605fbc12c61d8d10250f6e51","average","20","high",9,2.5
"average.605fbc12c61d8d10250f6e51","average","20","low",6,0.333333333333333
"average.607b73619e1bfba7bfb23cce","average","2","high",8,-1.125
"average.607b73619e1bfba7bfb23cce","average","2","low",7,-1
"average.607b73619e1bfba7bfb23cce","average","10","high",9,-5.24444444444444
"average.607b73619e1bfba7bfb23cce","average","10","low",11,-2.01818181818182
"average.607b73619e1bfba7bfb23cce","average","20","high",6,-4.66666666666667
"average.607b73619e1bfba7bfb23cce","average","20","low",14,-1.64285714285714
"average.60c119b30aa5205b493541b6","average","2","high",10,-1.8
"average.60c119b30aa5205b493541b6","average","2","low",10,-1.4
"average.60c119b30aa5205b493541b6","average","10","high",6,1.53333333333333
"average.60c119b30aa5205b493541b6","average","10","low",8,6.175
"average.60c119b30aa5205b493541b6","average","20","high",7,3.07142857142857
"average.60c119b30aa5205b493541b6","average","20","low",11,2.86363636363636
"average.60f6ce6de6cf393bcde0c14d","average","2","high",4,9
"average.60f6ce6de6cf393bcde0c14d","average","2","low",7,-2.71428571428571
"average.60f6ce6de6cf393bcde0c14d","average","10","high",9,3.2
"average.60f6ce6de6cf393bcde0c14d","average","10","low",11,0.981818181818183
"average.60f6ce6de6cf393bcde0c14d","average","20","high",8,0.375
"average.60f6ce6de6cf393bcde0c14d","average","20","low",9,2.83333333333333
"average.612cd21ab53f52338b7b4f19","average","2","high",17,3.41176470588235
"average.612cd21ab53f52338b7b4f19","average","2","low",3,2.66666666666667
"average.612cd21ab53f52338b7b4f19","average","10","high",15,1.93333333333334
"average.612cd21ab53f52338b7b4f19","average","10","low",7,2.08571428571429
"average.612cd21ab53f52338b7b4f19","average","20","high",5,-0.7
"average.612cd21ab53f52338b7b4f19","average","20","low",14,3.28571428571429
"average.6143af8721d1445864c4f6c8","average","2","high",11,1.90909090909091
"average.6143af8721d1445864c4f6c8","average","2","low",5,0
"average.6143af8721d1445864c4f6c8","average","10","high",10,3.9
"average.6143af8721d1445864c4f6c8","average","10","low",10,4.8
"average.6143af8721d1445864c4f6c8","average","20","high",5,-1.1
"average.6143af8721d1445864c4f6c8","average","20","low",12,8.41666666666667
"average.616964223dcbf0aa539dbae2","average","2","high",9,-0.666666666666666
"average.616964223dcbf0aa539dbae2","average","2","low",4,-1
"average.616964223dcbf0aa539dbae2","average","10","high",5,-7.4
"average.616964223dcbf0aa539dbae2","average","10","low",11,0.800000000000001
"average.616964223dcbf0aa539dbae2","average","20","high",7,-2.92857142857143
"average.616964223dcbf0aa539dbae2","average","20","low",13,5.57692307692308
"average.62728a4122289635e97d12f2","average","2","high",7,0
"average.62728a4122289635e97d12f2","average","2","low",10,1.5
"average.62728a4122289635e97d12f2","average","10","high",7,0.485714285714288
"average.62728a4122289635e97d12f2","average","10","low",6,3.96666666666667
"average.62728a4122289635e97d12f2","average","20","high",8,1.25
"average.62728a4122289635e97d12f2","average","20","low",12,-2.33333333333333
"average.627cea14552eb015f1daf9a1","average","2","high",7,-4.57142857142857
"average.627cea14552eb015f1daf9a1","average","2","low",10,-1.3
"average.627cea14552eb015f1daf9a1","average","10","high",8,-0.174999999999998
"average.627cea14552eb015f1daf9a1","average","10","low",7,3.08571428571429
"average.627cea14552eb015f1daf9a1","average","20","high",5,-5.7
"average.627cea14552eb015f1daf9a1","average","20","low",13,1.03846153846154
"average.628f83dc5398c04bac86f9e6","average","2","high",11,15.0909090909091
"average.628f83dc5398c04bac86f9e6","average","2","low",4,-5
