"experiment","condition","array_length","n","se","signed_err"
"exp2","average","2",86,0.30270687899463,-3.60504031886826
"exp2","average","10",86,0.34278702645983,-2.08252830161175
"exp2","average","20",86,0.375760561502336,-2.70292469523381
"exp2","experience","2",77,0.328938464760433,-2.86118367724958
"exp2","experience","10",77,0.390060245287901,-0.405731164773824
"exp2","experience","20",77,0.402162233224168,-0.57967299343199
