"experiment","tail","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2","low","array_length",803.185864163894,401.592932081947,2,1758.42780254562,28.7452268254086,5.19805073610041e-13
"exp2","low","condition",2.8695973711672,2.8695973711672,1,169.229408705559,0.205400097317862,0.650977466696822
"exp2","low","array_length:condition",23.658066424144,11.829033212072,2,1758.42780254596,0.846698772917937,0.429003011007777
"exp2","high","array_length",460.706436148261,230.353218074131,2,672.511583249902,22.9910581695034,2.19613610212106e-10
"exp2","high","condition",33.0002111233392,33.0002111233392,1,98.8339073147139,3.29367994024906,0.0725801429981287
"exp2","high","array_length:condition",11.7664136587047,5.88320682935233,2,672.51158324566,0.587190192382423,0.55617176924095
