"experiment","tail","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp2","high","average","2",76,38.8815789473684,33.3157894736842,0.328852617932912
"exp2","high","average","10",72,39.2083333333333,33.25,0.389991172003933
"exp2","high","average","20",67,38.8358208955224,33.089552238806,0.42252891550047
"exp2","high","experience","2",123,39.5040650406504,33.1788617886179,0.292751409939363
"exp2","high","experience","10",212,39.5518867924528,32.5707547169811,0.232879227263539
"exp2","high","experience","20",134,39.4328358208955,32.3805970149254,0.292385460966672
"exp2","low","average","2",374,10.9705882352941,17.7326203208556,0.193943915397519
"exp2","low","average","10",213,10.9107981220657,18.093896713615,0.26151072041135
"exp2","low","average","20",373,10.4155495978552,18.1608579088472,0.202223730508743
"exp2","low","experience","2",326,10.4325153374233,18.2300613496933,0.211016671982082
"exp2","low","experience","10",180,10.5666666666667,18.0388888888889,0.323443979694401
"exp2","low","experience","20",306,10.3071895424837,18.2712418300654,0.230960681662165
