"experiment","scope","array_length","n","M","SE","ci_low","ci_high","df","t","p","condition"
"exp2","pooled","2",163,1.21686319414576,0.177271004929527,0.866803342324853,1.56692304596667,162,6.86442317303678,1.34913179556025e-10,NA
"exp2","pooled","10",163,2.13489903075793,0.169158957993472,1.8008581660778,2.46893989543805,162,12.6206678977079,7.23134002183141e-26,NA
"exp2","pooled","20",163,1.62608557938313,0.170929092180593,1.28854920278049,1.96362195598576,162,9.51321719807128,2.52383315199603e-17,NA
"exp2","by_condition","2",86,1.65866208290114,0.224196764313878,1.21289885145562,2.10442531434666,85,7.39824273547048,9.05734495400336e-11,"average"
"exp2","by_condition","10",86,2.71823099381239,0.209562035461486,2.30156552407871,3.13489646354606,85,12.9710087412849,7.44613230247299e-22,"average"
"exp2","by_condition","20",86,2.19151378337425,0.207452775898527,1.77904208673814,2.60398548001035,85,10.5639164088419,3.78914530547747e-17,"average"
"exp2","by_condition","2",77,0.723425474237163,0.270073637329608,0.185527208180675,1.26132374029365,76,2.67862306513933,0.00905662707470243,"experience"
"exp2","by_condition","10",77,1.48338540968411,0.252338842556652,0.980809048614591,1.98596177075363,76,5.87854566762183,1.03686379545621e-07,"experience"
"exp2","by_condition","20",77,0.994568364535897,0.261016999323046,0.474707956332546,1.51442877273925,76,3.8103585862811,0.000279826903676526,"experience"
