"experiment","contrast","estimate","SE","df","t.ratio","p.value"
"exp2","X2 - X10",-0.0279750166541521,0.0154750239037715,142,-1.80775272646488,0.170718603824012
"exp2","X2 - X20",-0.00314706753685434,0.0132208773457083,142,-0.238037722804829,0.969253863346727
"exp2","X10 - X20",0.0248279491172978,0.014950501876316,142,1.6606766329784,0.223998586979702
