"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2","combined","resp_c",140341.048095635,140341.048095635,1,414.495800537171,7367.12447923475,4.61533034032368e-266
"exp2","combined","array_length",5797.50230835118,2898.75115417559,2,14618.8905204857,152.168313383154,3.9140807288697e-66
"exp2","combined","condition",1.34295434192572,1.34295434192572,1,161.237943118729,0.0704976337368775,0.790952771392052
"exp2","combined","resp_c:array_length",37.746945663132,18.873472831566,2,297.084352978968,0.990752353586893,0.372520617729867
"exp2","combined","resp_c:condition",611.400134096193,611.400134096193,1,414.495808168833,32.0951065680944,2.75035685188017e-08
"exp2","combined","array_length:condition",140.981789249225,70.4908946246125,2,14618.8905189913,3.70037991306901,0.0247372870328419
"exp2","combined","resp_c:array_length:condition",1.0821443805128,0.541072190256399,2,297.084353013499,0.0284032806649322,0.971998939604054
"exp2","experience","resp_c",53922.1775261847,53922.1775261847,1,192.405643305485,2932.29764675232,2.04480896063748e-118
"exp2","experience","array_length",2898.85277568587,1449.42638784293,2,6890.29737065555,78.8200659023585,1.42753881385109e-34
"exp2","experience","resp_c:array_length",22.0254965158599,11.0127482579299,2,136.104251310279,0.598875217628635,0.550870539753673
"exp2","average","resp_c",90330.3535265676,90330.3535265676,1,221.794896588252,4598.53497987236,2.84994123852211e-150
"exp2","average","array_length",3054.66206068626,1527.33103034313,2,7728.72341714439,77.753323159658,3.69306056347875e-34
"exp2","average","resp_c:array_length",14.9890776914837,7.49453884574186,2,160.417092409301,0.381531763074743,0.683432622124083
