"experiment","model","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp2","combined","noise_within_condition","array_length2 - array_length10","average",-0.0212706532093338,0.0281764363277912,309.762830036855,-0.754909278159991,0.730883738938226,NA
"exp2","combined","noise_within_condition","array_length2 - array_length20","average",-0.000361040802261605,0.0276180688831441,294.958502023257,-0.0130726302330992,0.999905785889312,NA
"exp2","combined","noise_within_condition","array_length10 - array_length20","average",0.0209096124070722,0.030034663464749,322.905856822653,0.696182676779892,0.765888213243846,NA
"exp2","combined","noise_within_condition","array_length2 - array_length10","experience",-0.0296059769180659,0.0281237635167781,249.208369616515,-1.05270323797181,0.544399168732508,NA
"exp2","combined","noise_within_condition","array_length2 - array_length20","experience",0.000227052652674032,0.0277218387685187,242.390683865183,0.00819038933780525,0.999963016186623,NA
"exp2","combined","noise_within_condition","array_length10 - array_length20","experience",0.0298330295707399,0.0300157012621441,262.809411152139,0.993914128815157,0.581356573340578,NA
"exp2","combined","condition_within_noise","average - experience",NA,0.0960290141243336,0.0255737228032879,127.902444940649,3.75498768259065,0.000262059518421356,"2"
"exp2","combined","condition_within_noise","average - experience",NA,0.0876936904156016,0.0304839605327368,150.290229116039,2.87671578374559,0.00460329248571982,"10"
"exp2","combined","condition_within_noise","average - experience",NA,0.0966171075792693,0.0295406521142062,139.220818448452,3.27064911112121,0.00135256744788423,"20"
"exp2","experience","noise_within_condition","array_length2 - array_length10","experience",-0.029463801832604,0.0293048533705553,126.204472124384,-1.00542396373866,0.574815599790703,NA
"exp2","experience","noise_within_condition","array_length2 - array_length20","experience",-0.000793620685809224,0.0292548568964978,122.596345792197,-0.0271278266243795,0.999594350885013,NA
"exp2","experience","noise_within_condition","array_length10 - array_length20","experience",0.0286701811467948,0.0315993760985011,137.709037540249,0.90730212702379,0.63662096100311,NA
"exp2","average","noise_within_condition","array_length2 - array_length10","average",-0.0205668695939288,0.0271288267672022,152.321511013413,-0.75811865254687,0.72918219097028,NA
"exp2","average","noise_within_condition","array_length2 - array_length20","average",0.00163627752843945,0.0261734421256886,144.616735247475,0.0625167114276302,0.997847589573577,NA
"exp2","average","noise_within_condition","array_length10 - array_length20","average",0.0222031471223682,0.0283821976099716,150.701567356604,0.782291330202263,0.714470100137831,NA
