"experiment","model","term","b","SE","df","t","p"
"exp2","combined","(Intercept)",25.0373462691218,0.0571599063204967,161.237943173031,438.022870939237,6.64557560617582e-250
"exp2","combined","resp_c",0.707885671682237,0.00824734432276648,414.495789682069,85.8319531692336,4.61541633175475e-266
"exp2","combined","array_length1",0.595084286422907,0.051323623696556,14619.9936822019,11.5947441657912,5.98453598397501e-31
"exp2","combined","array_length2",-0.878276551479245,0.0513959672938076,14657.3505699722,-17.0884331538802,7.67842259397993e-65
"exp2","combined","condition1",0.015176761305623,0.0571599063204967,161.237943164831,0.265514103898746,0.7909526184432
"exp2","combined","resp_c:array_length1",-0.00850176971283122,0.0110920493201564,304.00126696413,-0.766474207555304,0.443988964402907
"exp2","combined","resp_c:array_length2",0.0169365453508686,0.0120698244795528,273.678761285476,1.40321388927904,0.161686584849582
"exp2","combined","resp_c:condition1",0.0467233020198674,0.00824734432276648,414.495789690907,5.66525419472175,2.75035886601912e-08
"exp2","combined","array_length1:condition1",-0.11371524318829,0.051323623696556,14619.993682085,-2.21565109783784,0.0267307522664367
"exp2","combined","array_length2:condition1",-0.0132089843409986,0.0513959672938076,14657.3505674724,-0.257004295015771,0.797179064888222
"exp2","combined","resp_c:array_length1:condition1",0.00129120504229941,0.0110920493201564,304.001266971516,0.116408159126469,0.907405931031336
"exp2","combined","resp_c:array_length2:condition1",-0.00287645681206663,0.0120698244795528,273.678761324923,-0.238318031628345,0.811812775876924
"exp2","experience","(Intercept)",25.0214311779144,0.0791439678645482,76.3124341755446,316.150830607048,1.01491115760867e-120
"exp2","experience","resp_c",0.663710711699625,0.0122567353673793,192.405637966828,54.1506928073245,2.04482633729706e-118
"exp2","experience","array_length1",0.710945628894091,0.0735298118874112,6903.59365485493,9.66880793850922,5.63602159420153e-22
"exp2","experience","array_length2",-0.866407920630926,0.0735333762282265,6896.60354441867,-11.7825124463461,9.66756557289668e-32
"exp2","experience","resp_c:array_length1",-0.0100858075061377,0.0164341162639529,134.554099320014,-0.613711582913665,0.540442077243089
"exp2","experience","resp_c:array_length2",0.0193779943264663,0.0178224058412562,129.969581427013,1.08728274392726,0.278924141652847
"exp2","average","(Intercept)",25.0529331626122,0.0815394249194156,84.8608129858407,307.249323715143,4.62665593031533e-131
"exp2","average","resp_c",0.75205058248341,0.0110901472342879,221.794882675036,67.8124975796769,2.84999341159464e-150
"exp2","average","array_length1",0.47995289049568,0.071345934414782,7721.37706251196,6.72712319815437,1.85401882951102e-11
"exp2","average","array_length2",-0.891073775309723,0.0715352296515311,7761.68741013557,-12.4564327206385,2.80075795223312e-35
"exp2","average","resp_c:array_length1",-0.0063101973551631,0.0150425156280154,171.289398446591,-0.419490829273988,0.675383095786917
"exp2","average","resp_c:array_length2",0.0142566722387657,0.0163231114039978,143.100040245915,0.873404088590238,0.383906159563106
