"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","5","0.0-0.0","669eb709554e753adddffe01","","","",""
"external-html","1","90188","0.0-1.0","669eb709554e753adddffe01","90038.89999997616","external_page.html","",""
"instructions","2","125523","0.0-2.0","669eb709554e753adddffe01","35333.10000002384","","[{""page_index"":0,""viewing_time"":8204.799999952316},{""page_index"":1,""viewing_time"":15047.600000023842},{""page_index"":2,""viewing_time"":9344.200000047684},{""page_index"":3,""viewing_time"":2735.7999999523163}]",""
"survey-text","3","129316","0.0-3.0","669eb709554e753adddffe01","3787.100000023842","","","{""Q0"":""669eb709554e753adddffe01""}"
"instructions","4","131810","0.0-4.0","669eb709554e753adddffe01","2492.8000000715256","","[{""page_index"":0,""viewing_time"":2492.5}]",""
"survey-text","5","144172","0.0-5.0","669eb709554e753adddffe01","12358.200000047684","","","{""Q0"":""Giraffe""}"
