"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","3","0.0-0.0","5484620efdf99b0379939c6a","","","",""
"external-html","1","8310","0.0-1.0","5484620efdf99b0379939c6a","8182.800000071526","external_page.html","",""
"instructions","2","90739","0.0-2.0","5484620efdf99b0379939c6a","82429.20000004768","","[{""page_index"":0,""viewing_time"":28629.299999952316},{""page_index"":1,""viewing_time"":17799.700000047684},{""page_index"":2,""viewing_time"":28600.100000023842},{""page_index"":3,""viewing_time"":7399.799999952316}]",""
"survey-text","3","96365","0.0-3.0","5484620efdf99b0379939c6a","5621.400000095367","","","{""Q0"":""5484620efdf99b0379939c6a""}"
