"experiment","condition","term","b","SE","df","t","p"
"exp2_batch2","experience","(Intercept)",23.6122303948127,0.422529441278282,46.015493512996,55.8830417198347,6.06368683352094e-44
"exp2_batch2","experience","meanVal_c",0.903059612655548,0.0117800071368244,4252.76693278723,76.6603621005095,0
"exp2_batch2","experience","array_length1",-1.16635124673297,0.244635155411321,45.9426393665732,-4.76771723496529,1.91243503299598e-05
"exp2_batch2","experience","array_length2",1.31719488047849,0.140626730776847,46.0231556125354,9.36660386828357,3.11098155045674e-12
"exp2_batch2","experience","meanVal_c:array_length1",0.0690687152303482,0.0167496922532446,4237.4368950771,4.12358114919806,3.80172888670531e-05
"exp2_batch2","experience","meanVal_c:array_length2",-0.0821339238748263,0.016572401936408,4225.5445682933,-4.95606636804927,7.47514670319432e-07
"exp2_batch2","average","(Intercept)",21.8348567728166,0.360836911642831,55.9951191855561,60.5117050620075,1.03324402117707e-52
"exp2_batch2","average","meanVal_c",0.759074733429292,0.00931943523278916,5168.65387954237,81.4507225457816,0
"exp2_batch2","average","array_length1",-0.664949176266827,0.164181287151326,56.2010113103122,-4.05009113891246,0.000158562240856508
"exp2_batch2","average","array_length2",1.16320154022045,0.092598868370081,56.3871732985323,12.5617252207834,5.58406693593315e-18
"exp2_batch2","average","meanVal_c:array_length1",0.0714357782046531,0.013215053087149,5146.8429048488,5.40563686982997,6.74909235907971e-08
"exp2_batch2","average","meanVal_c:array_length2",-0.0714682506369069,0.0132582704514472,5144.497652374,-5.39046558890384,7.34111458539777e-08
