"experiment","model","term","b","SE","df","t","p"
"exp2_batch2","combined","(Intercept)",25.022480837806,0.0660854012516258,103.122992942169,378.6385550196,6.54068136578058e-164
"exp2_batch2","combined","resp_c",0.685059863985106,0.00618541891740641,9476.25539422312,110.753996314991,0
"exp2_batch2","combined","array_length1",0.672859933506193,0.109863888708248,102.176914823199,6.12448677556848,1.71057996368712e-08
"exp2_batch2","combined","array_length2",-0.895351749596495,0.0742616741762613,104.963857542458,-12.0567137696272,1.56737590245482e-21
"exp2_batch2","combined","condition1",0.0381759188149855,0.0660854012516258,103.12299293856,0.577675524275436,0.564742416710388
"exp2_batch2","combined","resp_c:array_length1",0.00789789637490214,0.00859711597633761,9453.06964465015,0.918668120406892,0.358292628600241
"exp2_batch2","combined","resp_c:array_length2",-0.000548903910642556,0.00892808751845624,9443.82137835744,-0.0614805701117798,0.95097778894939
"exp2_batch2","combined","resp_c:condition1",0.0488853504107171,0.00618541891740641,9476.25539386196,7.9033208685589,3.01858641886978e-15
"exp2_batch2","combined","array_length1:condition1",-0.0834495874555963,0.109863888708248,102.176914817062,-0.759572489530231,0.449259084811731
"exp2_batch2","combined","array_length2:condition1",-0.0588577361676502,0.0742616741762613,104.963857528874,-0.79257216889496,0.429814873769774
"exp2_batch2","combined","resp_c:array_length1:condition1",0.0030083503594999,0.00859711597633761,9453.06964931225,0.349925529419397,0.726402382780571
"exp2_batch2","combined","resp_c:array_length2:condition1",-0.00868535278137075,0.00892808751845624,9443.82137782997,-0.972812235925812,0.330671545984699
"exp2_batch2","experience","(Intercept)",24.9760400310822,0.088560856683924,46.7006437383987,282.021210795446,4.06081903059694e-77
"exp2_batch2","experience","resp_c",0.627056963744349,0.00844783718839122,4291.12875113112,74.2269233841335,0
"exp2_batch2","experience","array_length1",0.745321039743144,0.0938591961440204,4294.61453570585,7.94084192453024,2.54381483987741e-15
"exp2_batch2","experience","array_length2",-0.827025051575507,0.0940807529106046,4293.39386252915,-8.79058708598287,2.11648390366536e-18
"exp2_batch2","experience","resp_c:array_length1",-0.00236651288393639,0.0118163195148492,4336.4061078578,-0.200274957101698,0.841274938571486
"exp2_batch2","experience","resp_c:array_length2",0.016601178472788,0.0122177647446438,4329.7664453235,1.35877378716641,0.174289060572033
"exp2_batch2","average","(Intercept)",25.0606956449389,0.0948367290667199,56.4527424429169,264.250948884035,5.35393362621731e-89
"exp2_batch2","average","resp_c",0.733670479539458,0.00908735063583585,5195.01716798718,80.735354994033,0
"exp2_batch2","average","array_length1",0.58921532602887,0.140793474906517,56.2156457273932,4.18496188420729,0.000101197533550251
"exp2_batch2","average","array_length2",-0.953700011297342,0.0972373934520714,57.5837433339423,-9.80795532911342,6.83791775757313e-14
"exp2_batch2","average","resp_c:array_length1",0.0105489531424202,0.0125924813214034,5175.02015382218,0.837718387121224,0.402227570851822
"exp2_batch2","average","resp_c:array_length2",-0.00873552870605729,0.0131594490235694,5178.80384951543,-0.663821767188842,0.506833942462588
