"experiment","condition","array_length","n","mean_prop","se"
"exp2_batch2","average","2",57,0.139028797661562,0.0111687276726276
"exp2_batch2","average","10",57,0.0800667200136396,0.00961324188972281
"exp2_batch2","average","20",57,0.131551617528971,0.0113930103555144
"exp2_batch2","experience","2",47,0.144691684332361,0.0133994425746385
"exp2_batch2","experience","10",47,0.125355706404241,0.0128331991097414
"exp2_batch2","experience","20",47,0.139234385485687,0.0109827789688382
