"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp2_batch2","combined","average","2",0.744851461130225,0.0149040428965249,9389.78683311446,0.715636307938111,0.77406661432234,49.976470565842,0
"exp2_batch2","combined","experience","2",0.641064059589792,0.0143982348392954,9380.37071924331,0.612840396125979,0.669287723053604,44.5237952252461,0
"exp2_batch2","combined","average","10",0.72471095770381,0.0162018764809732,9368.75488730053,0.692951760305718,0.756470155101903,44.7300631229279,0
"exp2_batch2","combined","experience","10",0.644310962445117,0.0152842879836632,9336.73856238346,0.614350424552949,0.674271500337285,42.155117931159,0
"exp2_batch2","combined","average","20",0.732273224353435,0.0153626026726843,9312.62380886134,0.702159162480552,0.762387286226317,47.665961292839,0
"exp2_batch2","combined","experience","20",0.623148518688259,0.014657676707115,9386.38907838393,0.594416295264328,0.65188074211219,42.5134577013679,0
"exp2_batch2","experience","experience","2",0.624690450860413,0.014216905980115,4333.56089838215,0.596818042433854,0.652562859286971,43.9399720117836,0
"exp2_batch2","experience","experience","10",0.643658142217137,0.015240537789047,4321.5635633534,0.61377886862874,0.673537415805534,42.2332959063765,0
"exp2_batch2","experience","experience","20",0.612822298155497,0.0145239213940556,4328.24538612724,0.584347972693295,0.6412966236177,42.1939971670678,0
"exp2_batch2","average","average","2",0.744219432681879,0.0151284904686314,5143.59518433082,0.714561157216103,0.773877708147654,49.1932380315805,0
"exp2_batch2","average","average","10",0.724934950833401,0.0164557084078581,5135.82591403199,0.692674752254496,0.757195149412306,44.053706644876,0
"exp2_batch2","average","average","20",0.731857055103096,0.0156010093708647,5103.20375780791,0.701272384649818,0.762441725556373,46.9108785018654,0
