"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2_batch2","combined","resp_c",231307.882981848,231307.882981848,1,9476.25534433411,12266.4480773373,0
"exp2_batch2","combined","array_length",1916.53686047866,958.268430239331,2,103.45238881768,50.8177663128098,4.23640794283759e-16
"exp2_batch2","combined","condition",6.2927360682947,6.2927360682947,1,103.123019121385,0.333708991025534,0.56474242822373
"exp2_batch2","combined","resp_c:array_length",20.0769779221327,10.0384889610663,2,9466.23084491421,0.53234936063769,0.587241326451759
"exp2_batch2","combined","resp_c:condition",1177.85226370724,1177.85226370724,1,9476.2553499102,62.4624783612449,3.01859005982549e-15
"exp2_batch2","combined","array_length:condition",37.6470535305534,18.8235267652767,2,103.452388820586,0.998227171171491,0.372053623207541
"exp2_batch2","combined","resp_c:array_length:condition",18.3711605475473,9.18558027377363,2,9466.23084567993,0.487118908512515,0.614409371741693
"exp2_batch2","experience","resp_c",103480.763123215,103480.763123215,1,4291.12873322682,5509.63619979902,0
"exp2_batch2","experience","array_length",3422.60359680715,1711.30179840357,2,4294.26853887963,91.115005849336,1.7613228812189e-39
"exp2_batch2","experience","resp_c:array_length",40.7360907965713,20.3680453982856,2,4333.08041725416,1.08445779542544,0.338176789539871
"exp2_batch2","average","resp_c",126781.007137391,126781.007137391,1,5195.01716520472,6518.1976488283,0
"exp2_batch2","average","array_length",1036.80341629718,518.40170814859,2,56.8402777928125,26.6526104461443,6.83272478234356e-09
"exp2_batch2","average","resp_c:array_length",15.1427695583208,7.57138477916041,2,5183.89657790893,0.389267947780348,0.677572500673738
