"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp2_batch2","slope_fwd","X2 - X10","average",0.140785443366358,0.0287767212932934,102,4.89233787030384,1.10906935558708e-05,NA
"noise","exp2_batch2","slope_fwd","X2 - X20","average",0.075948869730974,0.0312661778401786,102,2.42910630519653,0.0441697264905481,NA
"noise","exp2_batch2","slope_fwd","X10 - X20","average",-0.0648365736353839,0.0236871618450949,102,-2.73720313389129,0.0198395955844981,NA
"noise","exp2_batch2","slope_fwd","X2 - X10","experience",0.1393526042999,0.0316905524005812,102,4.39729173977238,7.95391442032223e-05,NA
"noise","exp2_batch2","slope_fwd","X2 - X20","experience",0.0409654483663431,0.0344320826932079,102,1.189746456273,0.461983480552016,NA
"noise","exp2_batch2","slope_fwd","X10 - X20","experience",-0.0983871559335566,0.0260856417943616,102,-3.77169772969983,0.000789705883676661,NA
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.135741853172852,0.0479306693507158,102,-2.8320458489659,0.00557357754459703,"X2"
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.13717469223931,0.0469612493098725,102,-2.92101880284672,0.00429564730956821,"X10"
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.170725274537483,0.0446324062540424,102,-3.82514161494531,0.000225364993618912,"X20"
"noise","exp2_batch2","slope_rev","X2 - X10","average",0.0144888441951334,0.02286715125701,102,0.633609496534548,0.801981854971572,NA
"noise","exp2_batch2","slope_rev","X2 - X20","average",-0.00569704271639827,0.0217055995558153,102,-0.262468802197723,0.962750278666565,NA
"noise","exp2_batch2","slope_rev","X10 - X20","average",-0.0201858869115317,0.0224110180695576,102,-0.900712624874079,0.641097654700818,NA
"noise","exp2_batch2","slope_rev","X2 - X10","experience",-0.015846348038191,0.0251825997748806,102,-0.62925782801812,0.804400879743169,NA
"noise","exp2_batch2","slope_rev","X2 - X20","experience",-0.0165009344866649,0.0239034333723734,102,-0.69031650096492,0.769673602792506,NA
"noise","exp2_batch2","slope_rev","X10 - X20","experience",-0.00065458644847393,0.0246802801210439,102,-0.0265226506856293,0.99961224439666,NA
