"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp2_batch2","combined","average","2",0.744851470436134,0.0149040430072001,9389.78691662054,0.715636317027106,0.774066623845162,49.9764708191126,0
"exp2_batch2","combined","experience","2",0.641064074856597,0.0143982349684999,9380.3708483313,0.612840411139565,0.669287738573628,44.5237958860305,0
"exp2_batch2","combined","average","10",0.724710957613417,0.0162018764635334,9368.75498542468,0.692951760249553,0.756470154977281,44.7300631654964,0
"exp2_batch2","combined","experience","10",0.644310963761313,0.0152842879725722,9336.73871846192,0.61435042589095,0.674271501631675,42.1551180478629,0
"exp2_batch2","combined","average","20",0.732273216517786,0.0153626024439912,9312.62404880894,0.702159155093292,0.762387277942279,47.6659614923643,0
"exp2_batch2","combined","experience","20",0.623148512584964,0.0146576765481799,9386.38932763965,0.594416289472678,0.651880735697249,42.5134577459579,0
"exp2_batch2","experience","experience","2",0.624690450775401,0.0142169059869752,4333.56089719074,0.596818042335391,0.652562859215411,43.9399719846013,0
"exp2_batch2","experience","experience","10",0.643658142080385,0.0152405378046493,4321.56355768501,0.613778868461389,0.673537415699382,42.2332958541681,0
"exp2_batch2","experience","experience","20",0.612822298362389,0.0145239214052443,4328.24538309572,0.584347972878245,0.641296623846533,42.193997148808,0
"exp2_batch2","average","average","2",0.744219432484741,0.0151284905042476,5143.59512157088,0.714561156949057,0.773877708020425,49.1932379027366,0
"exp2_batch2","average","average","10",0.724934952408588,0.0164557083779107,5135.8259745392,0.692674753888482,0.757195150928694,44.0537068207713,0
"exp2_batch2","average","average","20",0.731857055016348,0.0156010093950197,5103.20397816366,0.70127238451603,0.762441725516666,46.910878423673,0
