"experiment","term","b","SE","df","t","p"
"exp2_batch2","(Intercept)",22.7329982947151,0.276199734830548,102.097632837135,82.3063726279902,3.66914199954108e-95
"exp2_batch2","meanVal_c",0.831322244269042,0.00742118780774861,9414.20534141631,112.020105919034,0
"exp2_batch2","array_length1",-1.31449979509778,0.143320778071964,102.527198954789,-9.17173219948437,5.3165389926144e-15
"exp2_batch2","array_length2",0.755000043146912,0.0819980421189459,103.739824604067,9.20753744402474,4.03701757415617e-15
"exp2_batch2","condition1",-0.893571161041922,0.276199734830548,102.097632833466,-3.23523540524085,0.00163846448403612
"exp2_batch2","meanVal_c:array_length1",0.0703482398856754,0.0105355764466343,9375.20788141753,6.67720843202163,2.57355022913533e-11
"exp2_batch2","meanVal_c:array_length2",-0.0764534742990022,0.0104878905320446,9362.06712476939,-7.28969034005525,3.35846441752086e-13
"exp2_batch2","meanVal_c:condition1",-0.0718610167011978,0.00742118780774861,9414.20534165292,-9.68322303151609,4.50303670883723e-22
"exp2_batch2","array_length1:condition1",0.284231808571719,0.143320778071964,102.52719894835,1.98318633484533,0.0500211477415805
"exp2_batch2","array_length2:condition1",-0.0308601012453993,0.0819980421189459,103.739824601968,-0.376351684112577,0.707424074316718
"exp2_batch2","meanVal_c:array_length1:condition1",0.00134098521363443,0.0105355764466343,9375.20788027416,0.127281617709947,0.898720238644263
"exp2_batch2","meanVal_c:array_length2:condition1",0.00534043368083153,0.0104878905320446,9362.06712703916,0.509199983019887,0.610624055798842
