"response_value","array_length","condition","mean_true","n_trials"
31,"10","experience",28.9692307692308,52
31,"20","average",30.3823529411765,34
31,"20","experience",27.9782608695652,46
32,"2","average",31.375,32
32,"2","experience",32.2941176470588,34
32,"10","average",30.8744186046512,43
32,"10","experience",28.9755102040816,49
32,"20","average",30,38
32,"20","experience",28.0666666666667,30
33,"2","average",31.8846153846154,26
33,"2","experience",31.8421052631579,38
33,"10","average",31.0857142857143,35
33,"10","experience",30.375,40
33,"20","average",28.8870967741935,31
33,"20","experience",28.6666666666667,36
34,"2","average",33,33
34,"2","experience",32.3703703703704,27
34,"10","average",31.0787878787879,33
34,"10","experience",30.293023255814,43
34,"20","average",31.2692307692308,13
34,"20","experience",29.4310344827586,29
35,"2","average",32.7727272727273,22
35,"2","experience",31.9166666666667,24
35,"10","average",31.9083333333333,24
35,"10","experience",31.73125,32
35,"20","average",30.1,20
35,"20","experience",30.3214285714286,28
36,"2","average",34.2,10
36,"2","experience",32.2142857142857,28
36,"10","average",31.1333333333333,15
36,"10","experience",30.45,28
36,"20","average",32,10
36,"20","experience",30.2575757575758,33
37,"2","average",31.7058823529412,17
37,"2","experience",33.2105263157895,19
37,"10","average",32.4,15
37,"10","experience",31.0666666666667,30
37,"20","average",31.2692307692308,13
37,"20","experience",29.5,17
38,"2","average",34.0833333333333,12
38,"2","experience",32.6111111111111,18
38,"10","average",34.0571428571429,7
38,"10","experience",32.3111111111111,27
38,"20","average",32.5909090909091,11
38,"20","experience",28.1842105263158,19
39,"2","average",33.8333333333333,6
39,"2","experience",33,9
39,"10","average",33.45,8
39,"10","experience",33.35,20
39,"20","average",30.9545454545455,11
39,"20","experience",32.1,15
40,"2","average",33.3333333333333,6
40,"2","experience",31.7272727272727,11
40,"10","average",31.7714285714286,7
40,"10","experience",32.4,15
40,"20","average",31,6
40,"20","experience",31.5,17
41,"2","average",35,1
41,"2","experience",35,4
41,"10","average",33.2,2
41,"10","experience",34.4307692307692,13
41,"20","average",31.5,2
41,"20","experience",33.5,9
42,"2","average",33.8571428571429,7
42,"2","experience",32.25,4
42,"10","average",35.2,1
42,"10","experience",35.2,14
42,"20","average",32.5,6
42,"20","experience",31.1,10
43,"2","experience",33,4
43,"10","average",35.2,2
43,"10","experience",34.45,4
43,"20","experience",33,4
44,"2","average",33,1
44,"2","experience",32.5,2
44,"10","average",36.2,2
44,"10","experience",30.7,2
44,"20","average",28.5,1
