"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.67d1ddb07de1caaaa343e133","average","2",30,13,1,0.0333333333333333
"average.67d1ddb07de1caaaa343e133","average","10",32,20,1,0.03125
"average.67d1ddb07de1caaaa343e133","average","20",30,20,8,0.266666666666667
"average.67e1dc9c35b6facf1079fb30","average","2",29,18,7,0.241379310344828
"average.67e1dc9c35b6facf1079fb30","average","10",30,23,3,0.1
"average.67e1dc9c35b6facf1079fb30","average","20",27,17,8,0.296296296296296
"average.67e467ad6bd6407f4c60fb77","average","2",31,18,5,0.161290322580645
"average.67e467ad6bd6407f4c60fb77","average","10",32,15,1,0.03125
"average.67e467ad6bd6407f4c60fb77","average","20",31,17,3,0.0967741935483871
"average.680d85e020df383491477a41","average","2",31,13,1,0.032258064516129
"average.680d85e020df383491477a41","average","10",31,18,3,0.0967741935483871
"average.680d85e020df383491477a41","average","20",31,17,1,0.032258064516129
"experience.56802e5fc5767f00121cc6a0","experience","2",30,15,5,0.166666666666667
"experience.56802e5fc5767f00121cc6a0","experience","10",29,16,5,0.172413793103448
"experience.56802e5fc5767f00121cc6a0","experience","20",31,16,7,0.225806451612903
"experience.56d39b96da2aaa000dab6178","experience","2",32,19,2,0.0625
"experience.56d39b96da2aaa000dab6178","experience","10",32,15,2,0.0625
"experience.56d39b96da2aaa000dab6178","experience","20",30,19,4,0.133333333333333
"experience.59014ee029f42300013cc5b7","experience","2",31,15,7,0.225806451612903
"experience.59014ee029f42300013cc5b7","experience","10",32,16,8,0.25
"experience.59014ee029f42300013cc5b7","experience","20",32,19,9,0.28125
"experience.5ae12548dee8590001b08925","experience","2",29,13,2,0.0689655172413793
"experience.5ae12548dee8590001b08925","experience","10",29,16,5,0.172413793103448
"experience.5ae12548dee8590001b08925","experience","20",29,18,8,0.275862068965517
"experience.5baa535fa3c9170001156197","experience","2",30,16,1,0.0333333333333333
"experience.5baa535fa3c9170001156197","experience","10",31,18,1,0.032258064516129
"experience.5baa535fa3c9170001156197","experience","20",32,15,8,0.25
"experience.5cd6c1197b871a0001b13589","experience","2",32,18,4,0.125
"experience.5cd6c1197b871a0001b13589","experience","10",31,20,1,0.032258064516129
"experience.5cd6c1197b871a0001b13589","experience","20",31,19,3,0.0967741935483871
"experience.5d0c2e061c7a8f0016e3d263","experience","2",31,16,8,0.258064516129032
"experience.5d0c2e061c7a8f0016e3d263","experience","10",31,15,3,0.0967741935483871
"experience.5d0c2e061c7a8f0016e3d263","experience","20",31,21,4,0.129032258064516
"experience.5d1a2f59d79f260017add4a3","experience","2",31,17,2,0.0645161290322581
"experience.5d1a2f59d79f260017add4a3","experience","10",31,21,0,0
"experience.5d1a2f59d79f260017add4a3","experience","20",32,14,3,0.09375
"experience.5d4a41890e604c00011ade8b","experience","2",32,16,7,0.21875
"experience.5d4a41890e604c00011ade8b","experience","10",30,17,6,0.2
"experience.5d4a41890e604c00011ade8b","experience","20",32,19,4,0.125
"experience.5d4c78071b920f00198e8533","experience","2",31,13,5,0.161290322580645
"experience.5d4c78071b920f00198e8533","experience","10",32,17,3,0.09375
"experience.5d4c78071b920f00198e8533","experience","20",30,14,4,0.133333333333333
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","2",31,9,1,0.032258064516129
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","10",30,18,2,0.0666666666666667
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","20",32,17,3,0.09375
"experience.5e0b388b15ef4037cebdecc9","experience","2",31,15,7,0.225806451612903
"experience.5e0b388b15ef4037cebdecc9","experience","10",32,19,3,0.09375
"experience.5e0b388b15ef4037cebdecc9","experience","20",30,19,6,0.2
"experience.5f2f8574ff256b37b1970220","experience","2",28,17,5,0.178571428571429
"experience.5f2f8574ff256b37b1970220","experience","10",30,15,4,0.133333333333333
"experience.5f2f8574ff256b37b1970220","experience","20",32,19,5,0.15625
"experience.5f7a28b8bedcf2112ebd1289","experience","2",31,11,6,0.193548387096774
"experience.5f7a28b8bedcf2112ebd1289","experience","10",32,16,5,0.15625
"experience.5f7a28b8bedcf2112ebd1289","experience","20",30,16,7,0.233333333333333
"experience.60132d398c19b319aacdbbb2","experience","2",30,13,2,0.0666666666666667
"experience.60132d398c19b319aacdbbb2","experience","10",31,18,9,0.290322580645161
"experience.60132d398c19b319aacdbbb2","experience","20",32,22,10,0.3125
"experience.601478ee2d7cc94b1f1855ec","experience","2",31,19,6,0.193548387096774
"experience.601478ee2d7cc94b1f1855ec","experience","10",32,21,6,0.1875
